Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1787147067,2026-08-19T13:44:27Z,FIN5RG,"60.313404,24.975454",0,0,236
1787147129,2026-08-19T13:45:29Z,FIN5RG,"60.313477,24.975798",0,3,233
1787147137,2026-08-19T13:45:37Z,FIN5RG,"60.313534,24.976021",0,3,233
1787147144,2026-08-19T13:45:44Z,FIN5RG,"60.313602,24.976265",0,4,233
1787147151,2026-08-19T13:45:51Z,FIN5RG,"60.31366,24.976494",0,4,236
1787147217,2026-08-19T13:46:57Z,FIN5RG,"60.313904,24.976265",0,6,334
1787147224,2026-08-19T13:47:04Z,FIN5RG,"60.314163,24.976191",0,9,340
1787147231,2026-08-19T13:47:11Z,FIN5RG,"60.314449,24.975973",0,10,326
1787147238,2026-08-19T13:47:18Z,FIN5RG,"60.314735,24.975664",0,10,326
1787147244,2026-08-19T13:47:24Z,FIN5RG,"60.314976,24.975475",0,9,340
1787147249,2026-08-19T13:47:29Z,FIN5RG,"60.315182,24.975689",0,9,25
1787147252,2026-08-19T13:47:32Z,FIN5RG,"60.315292,24.975897",0,10,33
1787147258,2026-08-19T13:47:38Z,FIN5RG,"60.31551,24.976093",0,12,11
1787147262,2026-08-19T13:47:42Z,FIN5RG,"60.315788,24.975996",0,12,331
1787147267,2026-08-19T13:47:47Z,FIN5RG,"60.316013,24.975775",0,13,326
1787147270,2026-08-19T13:47:50Z,FIN5RG,"60.316223,24.975554",0,15,326
1787147273,2026-08-19T13:47:53Z,FIN5RG,"60.316463,24.975309",0,17,326
1787147277,2026-08-19T13:47:57Z,FIN5RG,"60.316772,24.974977",0,20,323
1787147282,2026-08-19T13:48:02Z,FIN5RG,"60.317211,24.974524",0,24,326
1787147284,2026-08-19T13:48:04Z,FIN5RG,"60.317467,24.974253",0,25,326
1787147288,2026-08-19T13:48:08Z,FIN5RG,"60.317837,24.973888",0,26,326
1787147290,2026-08-19T13:48:10Z,FIN5RG,"60.318108,24.973616",0,28,326
1787147294,2026-08-19T13:48:14Z,FIN5RG,"60.31855,24.97315",0,29,326
1787147296,2026-08-19T13:48:16Z,FIN5RG,"60.318867,24.972824",0,29,326
1787147299,2026-08-19T13:48:19Z,FIN5RG,"60.31918,24.972513",0,30,326
1787147307,2026-08-19T13:48:27Z,FIN5RG,"60.320114,24.971521",0,26,326
1787147312,2026-08-19T13:48:32Z,FIN5RG,"60.320679,24.970943",0,24,326
1787147315,2026-08-19T13:48:35Z,FIN5RG,"60.320938,24.970692",0,23,326
1787147318,2026-08-19T13:48:38Z,FIN5RG,"60.321167,24.970453",0,22,323
1787147321,2026-08-19T13:48:41Z,FIN5RG,"60.321472,24.970133",0,21,326
1787147324,2026-08-19T13:48:44Z,FIN5RG,"60.321739,24.969864",0,20,323
1787147327,2026-08-19T13:48:47Z,FIN5RG,"60.322002,24.96958",0,20,323
1787147329,2026-08-19T13:48:49Z,FIN5RG,"60.322205,24.969374",0,20,323
1787147332,2026-08-19T13:48:52Z,FIN5RG,"60.322414,24.969154",0,19,323
1787147334,2026-08-19T13:48:54Z,FIN5RG,"60.32262,24.968941",0,18,323
1787147338,2026-08-19T13:48:58Z,FIN5RG,"60.322857,24.968712",0,15,326
1787147342,2026-08-19T13:49:02Z,FIN5RG,"60.32309,24.96854",0,12,337
