Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1787129407,2026-08-19T08:50:07Z,FIN6PZ,"46.230515,6.102637",0,0,180
1787129612,2026-08-19T08:53:32Z,FIN6PZ,"46.230179,6.102648",0,5,180
1787129631,2026-08-19T08:53:51Z,FIN6PZ,"46.229702,6.102837",0,0,143
1787129646,2026-08-19T08:54:06Z,FIN6PZ,"46.229565,6.103425",0,7,73
1787129652,2026-08-19T08:54:12Z,FIN6PZ,"46.229679,6.103643",0,7,53
1787129660,2026-08-19T08:54:20Z,FIN6PZ,"46.229862,6.103927",0,8,45
1787129665,2026-08-19T08:54:25Z,FIN6PZ,"46.230026,6.104176",0,10,47
1787129671,2026-08-19T08:54:31Z,FIN6PZ,"46.230247,6.104502",0,12,45
1787129681,2026-08-19T08:54:41Z,FIN6PZ,"46.230606,6.105032",0,13,45
1787129684,2026-08-19T08:54:44Z,FIN6PZ,"46.230778,6.105283",0,14,45
1787129693,2026-08-19T08:54:53Z,FIN6PZ,"46.231236,6.105953",0,15,45
1787129700,2026-08-19T08:55:00Z,FIN6PZ,"46.23159,6.106472",0,16,45
1787129709,2026-08-19T08:55:09Z,FIN6PZ,"46.231983,6.107059",0,13,47
1787129719,2026-08-19T08:55:19Z,FIN6PZ,"46.232483,6.107695",0,13,30
1787129727,2026-08-19T08:55:27Z,FIN6PZ,"46.232971,6.107935",0,14,16
1787129734,2026-08-19T08:55:34Z,FIN6PZ,"46.233345,6.108158",0,13,33
1787129747,2026-08-19T08:55:47Z,FIN6PZ,"46.233879,6.108913",0,13,45
1787129752,2026-08-19T08:55:52Z,FIN6PZ,"46.234108,6.109252",0,13,45
1787129758,2026-08-19T08:55:58Z,FIN6PZ,"46.23439,6.109669",0,14,45
1787129765,2026-08-19T08:56:05Z,FIN6PZ,"46.234753,6.110184",0,15,47
1787129777,2026-08-19T08:56:17Z,FIN6PZ,"46.235321,6.111028",0,0,47
1787129786,2026-08-19T08:56:26Z,FIN6PZ,"46.23571,6.111564",0,0,36
1787129796,2026-08-19T08:56:36Z,FIN6PZ,"46.236076,6.11153",0,9,331
1787129803,2026-08-19T08:56:43Z,FIN6PZ,"46.236305,6.111246",0,11,317
1787129811,2026-08-19T08:56:51Z,FIN6PZ,"46.23658,6.110853",0,8,317
1787129817,2026-08-19T08:56:57Z,FIN6PZ,"46.236824,6.110716",0,9,351
1787129823,2026-08-19T08:57:03Z,FIN6PZ,"46.237057,6.110853",0,10,33
1787129829,2026-08-19T08:57:09Z,FIN6PZ,"46.237255,6.111095",0,11,45
1787129833,2026-08-19T08:57:13Z,FIN6PZ,"46.237427,6.111346",0,12,45
1787129836,2026-08-19T08:57:16Z,FIN6PZ,"46.237576,6.111564",0,13,45
1787129840,2026-08-19T08:57:20Z,FIN6PZ,"46.237732,6.111797",0,13,45
1787129845,2026-08-19T08:57:25Z,FIN6PZ,"46.237999,6.112192",0,15,45
1787129852,2026-08-19T08:57:32Z,FIN6PZ,"46.238342,6.112702",0,17,45
1787129859,2026-08-19T08:57:39Z,FIN6PZ,"46.2388,6.113359",0,19,45
1787129867,2026-08-19T08:57:47Z,FIN6PZ,"46.239315,6.114115",0,21,45
1787129875,2026-08-19T08:57:55Z,FIN6PZ,"46.239853,6.114913",0,23,45
1787129883,2026-08-19T08:58:03Z,FIN6PZ,"46.240559,6.115934",0,23,45
1787129891,2026-08-19T08:58:11Z,FIN6PZ,"46.241058,6.11669",0,20,45
1787129899,2026-08-19T08:58:19Z,FIN6PZ,"46.241558,6.117409",0,18,45
1787129906,2026-08-19T08:58:26Z,FIN6PZ,"46.242004,6.118062",0,19,45
1787129913,2026-08-19T08:58:33Z,FIN6PZ,"46.242428,6.118681",0,20,45
1787129920,2026-08-19T08:58:40Z,FIN6PZ,"46.24297,6.119471",0,21,45
1787129928,2026-08-19T08:58:48Z,FIN6PZ,"46.243389,6.120088",0,20,45
1787129937,2026-08-19T08:58:57Z,FIN6PZ,"46.244076,6.12111",0,18,45
1787129946,2026-08-19T08:59:06Z,FIN6PZ,"46.244587,6.121857",0,17,45
1787129953,2026-08-19T08:59:13Z,FIN6PZ,"46.244991,6.122449",0,17,45
1787129961,2026-08-19T08:59:21Z,FIN6PZ,"46.245369,6.123019",0,18,45
1787129969,2026-08-19T08:59:29Z,FIN6PZ,"46.245995,6.123934",0,20,45
1787129976,2026-08-19T08:59:36Z,FIN6PZ,"46.246506,6.124672",0,22,45
1787129985,2026-08-19T08:59:45Z,FIN6PZ,"46.247066,6.125513",0,18,45
1787129995,2026-08-19T08:59:55Z,FIN6PZ,"46.247623,6.126303",0,0,42
1787130005,2026-08-19T09:00:05Z,FIN6PZ,"46.248169,6.126749",0,14,19
1787130017,2026-08-19T09:00:17Z,FIN6PZ,"46.248619,6.126955",0,8,16
1787130026,2026-08-19T09:00:26Z,FIN6PZ,"46.248917,6.127089",0,4,16
1787130040,2026-08-19T09:00:40Z,FIN6PZ,"46.249123,6.127189",0,2,16
1787130186,2026-08-19T09:03:06Z,FIN6PZ,"46.249542,6.12723",0,6,348
1787130196,2026-08-19T09:03:16Z,FIN6PZ,"46.249809,6.127038",0,6,326
1787130204,2026-08-19T09:03:24Z,FIN6PZ,"46.249947,6.126837",0,5,312
1787130212,2026-08-19T09:03:32Z,FIN6PZ,"46.250015,6.12662",0,4,286
1787130222,2026-08-19T09:03:42Z,FIN6PZ,"46.249935,6.126385",0,4,233
1787130237,2026-08-19T09:03:57Z,FIN6PZ,"46.249695,6.126045",0,10,225
1787130242,2026-08-19T09:04:02Z,FIN6PZ,"46.249287,6.125427",0,36,227
1787130246,2026-08-19T09:04:06Z,FIN6PZ,"46.248802,6.124711",0,51,225
1787130248,2026-08-19T09:04:08Z,FIN6PZ,"46.24839,6.124123",1375,62,225
1787130250,2026-08-19T09:04:10Z,FIN6PZ,"46.247925,6.123436",1375,71,225
1787130252,2026-08-19T09:04:12Z,FIN6PZ,"46.247498,6.122801",1375,79,225
1787130254,2026-08-19T09:04:14Z,FIN6PZ,"46.246948,6.121997",1375,84,225
1787130257,2026-08-19T09:04:17Z,FIN6PZ,"46.246353,6.121127",1375,95,225
1787130266,2026-08-19T09:04:26Z,FIN6PZ,"46.24271,6.115814",1375,130,225
1787130271,2026-08-19T09:04:31Z,FIN6PZ,"46.24057,6.112656",1375,147,225
1787130280,2026-08-19T09:04:40Z,FIN6PZ,"46.23587,6.105721",1400,164,225
1787130289,2026-08-19T09:04:49Z,FIN6PZ,"46.231213,6.098923",1725,161,225
1787130297,2026-08-19T09:04:57Z,FIN6PZ,"46.226669,6.092321",2025,164,225
1787130306,2026-08-19T09:05:06Z,FIN6PZ,"46.222275,6.085945",2300,166,225
1787130314,2026-08-19T09:05:14Z,FIN6PZ,"46.217575,6.078804",2625,167,226
1787130322,2026-08-19T09:05:22Z,FIN6PZ,"46.213348,6.07209",2975,164,231
1787130325,2026-08-19T09:05:25Z,FIN6PZ,"46.21236,6.070152",3075,164,236
1787130327,2026-08-19T09:05:27Z,FIN6PZ,"46.211567,6.068298",3150,164,241
1787130329,2026-08-19T09:05:29Z,FIN6PZ,"46.210876,6.066128",3225,164,246
1787130331,2026-08-19T09:05:31Z,FIN6PZ,"46.210281,6.063582",3325,164,252
1787130333,2026-08-19T09:05:33Z,FIN6PZ,"46.209938,6.061707",3375,164,257
1787130335,2026-08-19T09:05:35Z,FIN6PZ,"46.209686,6.059295",3450,166,264
1787130337,2026-08-19T09:05:37Z,FIN6PZ,"46.209641,6.057419",3525,167,270
1787130339,2026-08-19T09:05:39Z,FIN6PZ,"46.209801,6.054634",3600,168,277
1787130341,2026-08-19T09:05:41Z,FIN6PZ,"46.210098,6.052663",3650,168,283
1787130343,2026-08-19T09:05:43Z,FIN6PZ,"46.210556,6.050385",3725,169,289
1787130346,2026-08-19T09:05:46Z,FIN6PZ,"46.211334,6.04804",3800,170,297
1787130348,2026-08-19T09:05:48Z,FIN6PZ,"46.212158,6.046098",3850,171,303
1787130350,2026-08-19T09:05:50Z,FIN6PZ,"46.213291,6.044128",3925,172,310
1787130352,2026-08-19T09:05:52Z,FIN6PZ,"46.214355,6.042614",4000,172,317
1787130354,2026-08-19T09:05:54Z,FIN6PZ,"46.21582,6.04094",4075,174,324
1787130356,2026-08-19T09:05:56Z,FIN6PZ,"46.217194,6.039734",4150,174,331
1787130358,2026-08-19T09:05:58Z,FIN6PZ,"46.218658,6.038796",4225,174,337
1787130360,2026-08-19T09:06:00Z,FIN6PZ,"46.220646,6.037811",4325,175,344
1787130363,2026-08-19T09:06:03Z,FIN6PZ,"46.222412,6.037389",4400,175,351
1787130365,2026-08-19T09:06:05Z,FIN6PZ,"46.223858,6.037193",4450,176,357
1787130367,2026-08-19T09:06:07Z,FIN6PZ,"46.225533,6.037262",4525,176,3
1787130369,2026-08-19T09:06:09Z,FIN6PZ,"46.227165,6.037468",4600,177,7
1787130371,2026-08-19T09:06:11Z,FIN6PZ,"46.229164,6.037949",4700,178,9
1787130373,2026-08-19T09:06:13Z,FIN6PZ,"46.230881,6.038461",4750,179,11
1787130376,2026-08-19T09:06:16Z,FIN6PZ,"46.232849,6.039064",4825,182,12
1787130378,2026-08-19T09:06:18Z,FIN6PZ,"46.234425,6.039665",4850,184,14
1787130380,2026-08-19T09:06:20Z,FIN6PZ,"46.236008,6.040283",4875,187,16
1787130382,2026-08-19T09:06:22Z,FIN6PZ,"46.237732,6.041039",4925,191,17
1787130384,2026-08-19T09:06:24Z,FIN6PZ,"46.239899,6.042078",4950,194,18
1787130386,2026-08-19T09:06:26Z,FIN6PZ,"46.241684,6.043016",4975,198,19
1787130388,2026-08-19T09:06:28Z,FIN6PZ,"46.243504,6.043991",5000,200,20
1787130390,2026-08-19T09:06:30Z,FIN6PZ,"46.245598,6.04509",5050,202,20
1787130392,2026-08-19T09:06:32Z,FIN6PZ,"46.246902,6.04583",5075,204,20
1787130394,2026-08-19T09:06:34Z,FIN6PZ,"46.249184,6.047081",5125,206,20
1787130397,2026-08-19T09:06:37Z,FIN6PZ,"46.25095,6.048042",5175,208,20
1787130399,2026-08-19T09:06:39Z,FIN6PZ,"46.25267,6.048912",5225,209,20
1787130401,2026-08-19T09:06:41Z,FIN6PZ,"46.254677,6.050034",5275,210,20
1787130413,2026-08-19T09:06:53Z,FIN6PZ,"46.265896,6.0569",5650,216,28
1787130415,2026-08-19T09:06:55Z,FIN6PZ,"46.267712,6.058411",5725,217,30
1787130418,2026-08-19T09:06:58Z,FIN6PZ,"46.269608,6.060099",5775,218,32
1787130420,2026-08-19T09:07:00Z,FIN6PZ,"46.271389,6.061844",5850,219,34
1787130422,2026-08-19T09:07:02Z,FIN6PZ,"46.273342,6.063904",5925,220,37
1787130424,2026-08-19T09:07:04Z,FIN6PZ,"46.274826,6.065592",5975,222,39
1787130426,2026-08-19T09:07:06Z,FIN6PZ,"46.276428,6.067534",6025,223,40
1787130428,2026-08-19T09:07:08Z,FIN6PZ,"46.27837,6.070084",6075,224,41
1787130430,2026-08-19T09:07:10Z,FIN6PZ,"46.279449,6.071487",6100,227,42
1787130432,2026-08-19T09:07:12Z,FIN6PZ,"46.281418,6.0741",6150,230,42
1787130434,2026-08-19T09:07:14Z,FIN6PZ,"46.282974,6.076176",6150,234,42
1787130436,2026-08-19T09:07:16Z,FIN6PZ,"46.284851,6.078722",6175,238,43
1787130438,2026-08-19T09:07:18Z,FIN6PZ,"46.28661,6.081139",6200,242,43
1787130440,2026-08-19T09:07:20Z,FIN6PZ,"46.287872,6.082808",6200,246,43
1787130443,2026-08-19T09:07:23Z,FIN6PZ,"46.290009,6.085808",6250,247,43
1787130445,2026-08-19T09:07:25Z,FIN6PZ,"46.291637,6.088005",6275,250,43
1787130447,2026-08-19T09:07:27Z,FIN6PZ,"46.293316,6.09034",6325,252,43
1787130459,2026-08-19T09:07:39Z,FIN6PZ,"46.304214,6.105384",6700,264,43
1787130472,2026-08-19T09:07:52Z,FIN6PZ,"46.316025,6.121529",7050,283,43
1787130487,2026-08-19T09:08:07Z,FIN6PZ,"46.330555,6.14122",7500,300,43
1787130500,2026-08-19T09:08:20Z,FIN6PZ,"46.343544,6.158798",8150,303,43
1787130514,2026-08-19T09:08:34Z,FIN6PZ,"46.358551,6.17914",8950,306,43
1787130527,2026-08-19T09:08:47Z,FIN6PZ,"46.371754,6.196701",9600,308,42
1787130540,2026-08-19T09:09:00Z,FIN6PZ,"46.385487,6.214485",10175,314,41
1787130554,2026-08-19T09:09:14Z,FIN6PZ,"46.401993,6.23588",10800,322,41
1787130567,2026-08-19T09:09:27Z,FIN6PZ,"46.415375,6.253349",11300,328,42
1787130580,2026-08-19T09:09:40Z,FIN6PZ,"46.430595,6.273605",11950,332,42
1787130594,2026-08-19T09:09:54Z,FIN6PZ,"46.44635,6.296908",12650,335,50
1787130597,2026-08-19T09:09:57Z,FIN6PZ,"46.448318,6.300525",12750,336,52
1787130599,2026-08-19T09:09:59Z,FIN6PZ,"46.450104,6.304008",12850,336,54
1787130601,2026-08-19T09:10:01Z,FIN6PZ,"46.452255,6.308497",12950,336,56
1787130603,2026-08-19T09:10:03Z,FIN6PZ,"46.453995,6.312382",13050,337,57
1787130605,2026-08-19T09:10:05Z,FIN6PZ,"46.455551,6.316134",13150,338,59
1787130607,2026-08-19T09:10:07Z,FIN6PZ,"46.457226,6.320503",13250,338,61
1787130609,2026-08-19T09:10:09Z,FIN6PZ,"46.458668,6.324554",13325,339,63
1787130611,2026-08-19T09:10:11Z,FIN6PZ,"46.460018,6.328606",13425,340,65
1787130613,2026-08-19T09:10:13Z,FIN6PZ,"46.461273,6.332794",13525,340,67
1787130615,2026-08-19T09:10:15Z,FIN6PZ,"46.462719,6.338013",13625,340,68
1787130618,2026-08-19T09:10:18Z,FIN6PZ,"46.463654,6.341724",13725,342,70
1787130620,2026-08-19T09:10:20Z,FIN6PZ,"46.464767,6.346527",13800,342,72
1787130622,2026-08-19T09:10:22Z,FIN6PZ,"46.465652,6.350922",13900,342,73
1787130624,2026-08-19T09:10:24Z,FIN6PZ,"46.466583,6.355792",14000,343,74
1787130626,2026-08-19T09:10:26Z,FIN6PZ,"46.467407,6.36028",14075,344,74
1787130628,2026-08-19T09:10:28Z,FIN6PZ,"46.468414,6.365572",14175,345,75
1787130630,2026-08-19T09:10:30Z,FIN6PZ,"46.469193,6.37006",14250,346,75
1787130632,2026-08-19T09:10:32Z,FIN6PZ,"46.469933,6.374199",14325,347,75
1787130634,2026-08-19T09:10:34Z,FIN6PZ,"46.470726,6.378731",14400,347,75
1787130636,2026-08-19T09:10:36Z,FIN6PZ,"46.471516,6.383331",14500,348,76
1787130638,2026-08-19T09:10:38Z,FIN6PZ,"46.472534,6.389086",14600,349,76
1787130640,2026-08-19T09:10:40Z,FIN6PZ,"46.47324,6.393219",14650,350,76
1787130672,2026-08-19T09:11:12Z,FIN6PZ,"46.485718,6.466057",15950,360,75
1787130703,2026-08-19T09:11:43Z,FIN6PZ,"46.498672,6.540215",17175,369,75
1787130735,2026-08-19T09:12:15Z,FIN6PZ,"46.512157,6.617821",18450,375,75
1787130767,2026-08-19T09:12:47Z,FIN6PZ,"46.525517,6.695",19475,386,75
1787130800,2026-08-19T09:13:20Z,FIN6PZ,"46.540043,6.779457",20550,396,75
1787130831,2026-08-19T09:13:51Z,FIN6PZ,"46.555435,6.86056",21650,400,68
1787130833,2026-08-19T09:13:53Z,FIN6PZ,"46.556854,6.865718",21725,400,67
1787130835,2026-08-19T09:13:55Z,FIN6PZ,"46.557823,6.869133",21775,400,66
1787130837,2026-08-19T09:13:57Z,FIN6PZ,"46.560059,6.876503",21850,400,65
1787130839,2026-08-19T09:13:59Z,FIN6PZ,"46.561386,6.880456",21925,400,63
1787130841,2026-08-19T09:14:01Z,FIN6PZ,"46.563354,6.88615",22000,400,62
1787130844,2026-08-19T09:14:04Z,FIN6PZ,"46.565048,6.890706",22075,400,61
1787130846,2026-08-19T09:14:06Z,FIN6PZ,"46.566833,6.895395",22125,400,60
1787130848,2026-08-19T09:14:08Z,FIN6PZ,"46.56871,6.900017",22200,400,58
1787130850,2026-08-19T09:14:10Z,FIN6PZ,"46.570633,6.904572",22275,400,57
1787130852,2026-08-19T09:14:12Z,FIN6PZ,"46.57328,6.910469",22375,399,56
1787130854,2026-08-19T09:14:14Z,FIN6PZ,"46.575375,6.914864",22425,400,55
1787130856,2026-08-19T09:14:16Z,FIN6PZ,"46.577515,6.919258",22475,400,53
1787130858,2026-08-19T09:14:18Z,FIN6PZ,"46.57975,6.923584",22550,400,52
1787130860,2026-08-19T09:14:20Z,FIN6PZ,"46.582031,6.927841",22600,401,51
1787130862,2026-08-19T09:14:22Z,FIN6PZ,"46.584824,6.932922",22650,402,51
1787130865,2026-08-19T09:14:25Z,FIN6PZ,"46.587246,6.937317",22700,403,51
1787130867,2026-08-19T09:14:27Z,FIN6PZ,"46.590179,6.942689",22725,404,51
1787130869,2026-08-19T09:14:29Z,FIN6PZ,"46.592365,6.946655",22750,404,51
1787130871,2026-08-19T09:14:31Z,FIN6PZ,"46.594788,6.950981",22800,406,51
1787130873,2026-08-19T09:14:33Z,FIN6PZ,"46.596554,6.954208",22825,406,50
1787130875,2026-08-19T09:14:35Z,FIN6PZ,"46.599907,6.960182",22875,407,50
1787130906,2026-08-19T09:15:06Z,FIN6PZ,"46.636917,7.02636",23375,410,51
1787130937,2026-08-19T09:15:37Z,FIN6PZ,"46.67395,7.093081",23900,428,51
1787130968,2026-08-19T09:16:08Z,FIN6PZ,"46.713634,7.16494",25050,425,51
1787131000,2026-08-19T09:16:40Z,FIN6PZ,"46.752045,7.234497",26025,430,51
1787131031,2026-08-19T09:17:11Z,FIN6PZ,"46.790909,7.305171",27150,426,51
1787131062,2026-08-19T09:17:42Z,FIN6PZ,"46.829224,7.375041",27900,434,51
1787131093,2026-08-19T09:18:13Z,FIN6PZ,"46.868187,7.446406",28700,439,51
1787131124,2026-08-19T09:18:44Z,FIN6PZ,"46.908005,7.519524",29525,441,51
1787131155,2026-08-19T09:19:15Z,FIN6PZ,"46.947235,7.591764",30450,438,51
1787131186,2026-08-19T09:19:46Z,FIN6PZ,"46.985733,7.662827",31250,438,51
1787131217,2026-08-19T09:20:17Z,FIN6PZ,"47.025742,7.736916",31450,456,51
1787131248,2026-08-19T09:20:48Z,FIN6PZ,"47.066452,7.812477",31650,470,51
1787131279,2026-08-19T09:21:19Z,FIN6PZ,"47.108303,7.890508",32175,476,52
1787131312,2026-08-19T09:21:52Z,FIN6PZ,"47.150528,7.97713",32725,480,56
1787131343,2026-08-19T09:22:23Z,FIN6PZ,"47.187302,8.062346",33000,483,58
1787131373,2026-08-19T09:22:53Z,FIN6PZ,"47.224033,8.148616",33000,492,57
1787131404,2026-08-19T09:23:24Z,FIN6PZ,"47.261261,8.235146",33550,490,57
1787131435,2026-08-19T09:23:55Z,FIN6PZ,"47.298843,8.322355",34025,486,57
1787131466,2026-08-19T09:24:26Z,FIN6PZ,"47.334969,8.406443",34575,488,57
1787131497,2026-08-19T09:24:57Z,FIN6PZ,"47.37323,8.495796",35000,492,57
1787131528,2026-08-19T09:25:28Z,FIN6PZ,"47.410194,8.582365",35000,503,57
1787131559,2026-08-19T09:25:59Z,FIN6PZ,"47.449356,8.674118",35850,492,58
1787131590,2026-08-19T09:26:30Z,FIN6PZ,"47.486263,8.761033",36375,491,57
1787131621,2026-08-19T09:27:01Z,FIN6PZ,"47.523968,8.849276",36800,490,57
1787131654,2026-08-19T09:27:34Z,FIN6PZ,"47.564117,8.938683",37275,483,48
1787131656,2026-08-19T09:27:36Z,FIN6PZ,"47.568054,8.945054",37300,483,46
1787131658,2026-08-19T09:27:38Z,FIN6PZ,"47.571487,8.950218",37325,482,44
1787131660,2026-08-19T09:27:40Z,FIN6PZ,"47.574738,8.954681",37350,481,42
1787131662,2026-08-19T09:27:42Z,FIN6PZ,"47.577038,8.957731",37350,479,40
1787131664,2026-08-19T09:27:44Z,FIN6PZ,"47.581928,8.963647",37375,478,38
1787131666,2026-08-19T09:27:46Z,FIN6PZ,"47.586208,8.968365",37400,476,36
1787131669,2026-08-19T09:27:49Z,FIN6PZ,"47.589794,8.971956",37400,475,33
1787131671,2026-08-19T09:27:51Z,FIN6PZ,"47.593781,8.975761",37400,474,31
1787131673,2026-08-19T09:27:53Z,FIN6PZ,"47.597195,8.978647",37425,473,29
1787131675,2026-08-19T09:27:55Z,FIN6PZ,"47.6012,8.981816",37425,471,26
1787131677,2026-08-19T09:27:57Z,FIN6PZ,"47.604969,8.984563",37425,468,24
1787131679,2026-08-19T09:27:59Z,FIN6PZ,"47.609764,8.987661",37450,468,22
1787131681,2026-08-19T09:28:01Z,FIN6PZ,"47.613907,8.990127",37450,466,20
1787131683,2026-08-19T09:28:03Z,FIN6PZ,"47.618004,8.992239",37475,464,18
1787131685,2026-08-19T09:28:05Z,FIN6PZ,"47.622299,8.994232",37475,462,17
1787131687,2026-08-19T09:28:07Z,FIN6PZ,"47.626465,8.996017",37500,462,15
1787131689,2026-08-19T09:28:09Z,FIN6PZ,"47.63063,8.997597",37500,460,13
1787131691,2026-08-19T09:28:11Z,FIN6PZ,"47.634529,8.99893",37500,460,12
1787131693,2026-08-19T09:28:13Z,FIN6PZ,"47.638962,9.000412",37500,459,11
1787131696,2026-08-19T09:28:16Z,FIN6PZ,"47.643562,9.001746",37500,460,11
1787131698,2026-08-19T09:28:18Z,FIN6PZ,"47.647846,9.003084",37500,460,11
1787131700,2026-08-19T09:28:20Z,FIN6PZ,"47.65242,9.004463",37525,460,11
1787131702,2026-08-19T09:28:22Z,FIN6PZ,"47.656921,9.005831",37525,460,11
1787131704,2026-08-19T09:28:24Z,FIN6PZ,"47.66116,9.00717",37525,462,11
1787131706,2026-08-19T09:28:26Z,FIN6PZ,"47.665009,9.008308",37525,462,11
1787131708,2026-08-19T09:28:28Z,FIN6PZ,"47.669037,9.009544",37525,463,11
1787131739,2026-08-19T09:28:59Z,FIN6PZ,"47.734619,9.03055",37625,470,12
1787131770,2026-08-19T09:29:30Z,FIN6PZ,"47.800095,9.053009",37975,469,13
1787131801,2026-08-19T09:30:01Z,FIN6PZ,"47.866035,9.076045",38000,476,13
1787131832,2026-08-19T09:30:32Z,FIN6PZ,"47.933807,9.099976",38000,484,13
1787131863,2026-08-19T09:31:03Z,FIN6PZ,"48.001465,9.12394",38000,489,13
1787131894,2026-08-19T09:31:34Z,FIN6PZ,"48.069515,9.148161",38000,490,13
1787131925,2026-08-19T09:32:05Z,FIN6PZ,"48.137924,9.172554",38000,490,13
1787131956,2026-08-19T09:32:36Z,FIN6PZ,"48.207218,9.195918",38000,486,10
1787131988,2026-08-19T09:33:08Z,FIN6PZ,"48.276443,9.215557",38000,484,10
1787132019,2026-08-19T09:33:39Z,FIN6PZ,"48.344971,9.235559",38000,484,11
1787132050,2026-08-19T09:34:10Z,FIN6PZ,"48.413361,9.25577",38000,484,11
1787132081,2026-08-19T09:34:41Z,FIN6PZ,"48.480991,9.275858",38000,485,11
1787132112,2026-08-19T09:35:12Z,FIN6PZ,"48.549282,9.296241",38000,484,11
1787132143,2026-08-19T09:35:43Z,FIN6PZ,"48.618088,9.316768",38000,485,11
1787132175,2026-08-19T09:36:15Z,FIN6PZ,"48.68652,9.337367",38000,485,11
1787132206,2026-08-19T09:36:46Z,FIN6PZ,"48.754902,9.363026",38000,491,15
1787132239,2026-08-19T09:37:19Z,FIN6PZ,"48.825897,9.396269",38000,495,17
1787132270,2026-08-19T09:37:50Z,FIN6PZ,"48.893875,9.429016",38000,495,17
1787132301,2026-08-19T09:38:21Z,FIN6PZ,"48.961456,9.461541",38000,492,17
1787132334,2026-08-19T09:38:54Z,FIN6PZ,"49.033173,9.496202",38000,493,17
1787132365,2026-08-19T09:39:25Z,FIN6PZ,"49.100189,9.528667",38000,494,17
1787132398,2026-08-19T09:39:58Z,FIN6PZ,"49.172699,9.56388",38000,496,17
1787132429,2026-08-19T09:40:29Z,FIN6PZ,"49.240536,9.596919",38000,496,17
1787132460,2026-08-19T09:41:00Z,FIN6PZ,"49.308243,9.63001",38000,495,17
1787132491,2026-08-19T09:41:31Z,FIN6PZ,"49.377182,9.663814",38000,494,17
1787132522,2026-08-19T09:42:02Z,FIN6PZ,"49.444107,9.696663",38000,492,17
