Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1779949085,2026-05-28T06:18:05Z,BEL7NL,"46.230003,6.105394",0,0,135
1779949522,2026-05-28T06:25:22Z,BEL7NL,"46.230179,6.105171",0,3,146
1779949537,2026-05-28T06:25:37Z,BEL7NL,"46.230389,6.104982",0,4,163
1779949550,2026-05-28T06:25:50Z,BEL7NL,"46.230606,6.104881",0,4,151
1779949565,2026-05-28T06:26:05Z,BEL7NL,"46.230812,6.104731",0,3,135
1779949583,2026-05-28T06:26:23Z,BEL7NL,"46.230961,6.104513",0,0,135
1779949746,2026-05-28T06:29:06Z,BEL7NL,"46.230789,6.104731",0,5,135
1779949753,2026-05-28T06:29:13Z,BEL7NL,"46.230587,6.104879",0,8,157
1779949760,2026-05-28T06:29:20Z,BEL7NL,"46.230377,6.104764",0,8,196
1779949767,2026-05-28T06:29:27Z,BEL7NL,"46.230217,6.104496",0,8,225
1779949772,2026-05-28T06:29:32Z,BEL7NL,"46.230061,6.104296",0,8,225
1779949778,2026-05-28T06:29:38Z,BEL7NL,"46.229908,6.104061",0,8,225
1779949784,2026-05-28T06:29:44Z,BEL7NL,"46.229748,6.103832",0,9,225
1779949789,2026-05-28T06:29:49Z,BEL7NL,"46.22953,6.103642",0,10,225
1779949793,2026-05-28T06:29:53Z,BEL7NL,"46.229515,6.103403",0,11,239
1779949795,2026-05-28T06:29:55Z,BEL7NL,"46.229507,6.103173",0,12,261
1779949799,2026-05-28T06:29:59Z,BEL7NL,"46.229599,6.102939",0,9,295
1779949805,2026-05-28T06:30:05Z,BEL7NL,"46.229794,6.102682",0,9,315
1779949811,2026-05-28T06:30:11Z,BEL7NL,"46.22998,6.102425",0,10,315
1779949815,2026-05-28T06:30:15Z,BEL7NL,"46.230145,6.102184",0,10,315
1779949820,2026-05-28T06:30:20Z,BEL7NL,"46.230316,6.101961",0,10,315
1779949825,2026-05-28T06:30:25Z,BEL7NL,"46.23048,6.101721",0,10,315
1779949829,2026-05-28T06:30:29Z,BEL7NL,"46.230549,6.101463",0,9,289
1779949833,2026-05-28T06:30:33Z,BEL7NL,"46.230515,6.101257",0,9,264
1779949837,2026-05-28T06:30:37Z,BEL7NL,"46.2304,6.101051",0,9,236
1779949843,2026-05-28T06:30:43Z,BEL7NL,"46.230225,6.100811",0,9,225
1779949847,2026-05-28T06:30:47Z,BEL7NL,"46.230083,6.100605",0,9,225
1779949852,2026-05-28T06:30:52Z,BEL7NL,"46.229931,6.100393",0,10,225
1779949856,2026-05-28T06:30:56Z,BEL7NL,"46.229794,6.100192",0,10,225
1779949865,2026-05-28T06:31:05Z,BEL7NL,"46.229504,6.099764",0,11,225
1779949872,2026-05-28T06:31:12Z,BEL7NL,"46.229198,6.099335",0,13,225
1779949879,2026-05-28T06:31:19Z,BEL7NL,"46.228912,6.098903",0,15,225
1779949886,2026-05-28T06:31:26Z,BEL7NL,"46.22855,6.098356",0,16,225
1779949893,2026-05-28T06:31:33Z,BEL7NL,"46.228111,6.09773",0,17,225
1779949900,2026-05-28T06:31:40Z,BEL7NL,"46.227711,6.097137",0,18,225
1779949907,2026-05-28T06:31:47Z,BEL7NL,"46.227299,6.096525",0,19,225
1779949915,2026-05-28T06:31:55Z,BEL7NL,"46.22683,6.095838",0,18,225
1779949923,2026-05-28T06:32:03Z,BEL7NL,"46.226452,6.095285",0,14,225
1779949929,2026-05-28T06:32:09Z,BEL7NL,"46.226162,6.094872",0,12,225
1779949936,2026-05-28T06:32:16Z,BEL7NL,"46.225868,6.094431",0,13,227
1779949940,2026-05-28T06:32:20Z,BEL7NL,"46.225708,6.094116",0,13,236
1779949944,2026-05-28T06:32:24Z,BEL7NL,"46.225616,6.093845",0,14,244
1779949948,2026-05-28T06:32:28Z,BEL7NL,"46.225525,6.093443",0,13,253
1779949952,2026-05-28T06:32:32Z,BEL7NL,"46.225498,6.093121",0,13,261
1779949955,2026-05-28T06:32:35Z,BEL7NL,"46.225487,6.092863",0,13,267
1779949958,2026-05-28T06:32:38Z,BEL7NL,"46.225491,6.092639",0,12,270
1779949961,2026-05-28T06:32:41Z,BEL7NL,"46.225502,6.092405",0,12,272
1779949964,2026-05-28T06:32:44Z,BEL7NL,"46.225513,6.092103",0,12,275
1779949967,2026-05-28T06:32:47Z,BEL7NL,"46.225548,6.091869",0,11,278
1779949971,2026-05-28T06:32:51Z,BEL7NL,"46.225605,6.091618",0,11,286
1779949976,2026-05-28T06:32:56Z,BEL7NL,"46.225731,6.091366",0,10,306
1779949983,2026-05-28T06:33:03Z,BEL7NL,"46.225983,6.091216",0,8,348
1779949989,2026-05-28T06:33:09Z,BEL7NL,"46.226139,6.091421",0,8,39
1779949995,2026-05-28T06:33:15Z,BEL7NL,"46.226292,6.091696",0,11,47
1779949999,2026-05-28T06:33:19Z,BEL7NL,"46.22649,6.091988",0,21,45
1779950001,2026-05-28T06:33:21Z,BEL7NL,"46.226727,6.092354",0,32,45
1779950003,2026-05-28T06:33:23Z,BEL7NL,"46.227001,6.09276",0,42,45
1779950004,2026-05-28T06:33:24Z,BEL7NL,"46.227165,6.093",0,47,45
1779950006,2026-05-28T06:33:26Z,BEL7NL,"46.227425,6.093359",0,57,45
1779950008,2026-05-28T06:33:28Z,BEL7NL,"46.227852,6.093979",0,67,45
1779950009,2026-05-28T06:33:29Z,BEL7NL,"46.228085,6.094322",0,72,45
1779950010,2026-05-28T06:33:30Z,BEL7NL,"46.228329,6.094683",0,76,45
1779950012,2026-05-28T06:33:32Z,BEL7NL,"46.228626,6.095118",0,80,45
1779950019,2026-05-28T06:33:39Z,BEL7NL,"46.230927,6.098551",1200,116,45
1779950027,2026-05-28T06:33:47Z,BEL7NL,"46.234798,6.10421",1175,144,45
1779950035,2026-05-28T06:33:55Z,BEL7NL,"46.238892,6.110207",1250,163,45
1779950042,2026-05-28T06:34:02Z,BEL7NL,"46.242188,6.115098",1525,156,45
1779950050,2026-05-28T06:34:10Z,BEL7NL,"46.246624,6.121651",1950,152,45
1779950058,2026-05-28T06:34:18Z,BEL7NL,"46.250626,6.127419",2375,148,45
1779950065,2026-05-28T06:34:25Z,BEL7NL,"46.253651,6.131744",2700,144,44
1779950073,2026-05-28T06:34:33Z,BEL7NL,"46.257614,6.137472",3150,140,45
1779950082,2026-05-28T06:34:42Z,BEL7NL,"46.261368,6.142898",3525,137,44
1779950088,2026-05-28T06:34:48Z,BEL7NL,"46.26416,6.146851",3775,140,44
1779950096,2026-05-28T06:34:56Z,BEL7NL,"46.268223,6.15255",4050,144,45
1779950105,2026-05-28T06:35:05Z,BEL7NL,"46.272087,6.158112",4325,147,44
1779950114,2026-05-28T06:35:14Z,BEL7NL,"46.276417,6.164223",4600,151,44
1779950120,2026-05-28T06:35:20Z,BEL7NL,"46.279907,6.169167",4750,160,44
1779950128,2026-05-28T06:35:28Z,BEL7NL,"46.284256,6.175254",4925,169,44
1779950137,2026-05-28T06:35:37Z,BEL7NL,"46.28952,6.182623",5125,178,44
1779950152,2026-05-28T06:35:52Z,BEL7NL,"46.298622,6.195396",5425,199,44
1779950167,2026-05-28T06:36:07Z,BEL7NL,"46.309113,6.210357",5700,226,44
1779950182,2026-05-28T06:36:22Z,BEL7NL,"46.321152,6.227119",6100,248,39
1779950184,2026-05-28T06:36:24Z,BEL7NL,"46.32312,6.229248",6150,252,35
1779950186,2026-05-28T06:36:26Z,BEL7NL,"46.325157,6.231171",6225,254,31
1779950188,2026-05-28T06:36:28Z,BEL7NL,"46.327251,6.23275",6275,258,29
1779950190,2026-05-28T06:36:30Z,BEL7NL,"46.329437,6.234192",6325,258,24
1779950192,2026-05-28T06:36:32Z,BEL7NL,"46.331543,6.235277",6400,263,18
1779950194,2026-05-28T06:36:34Z,BEL7NL,"46.334381,6.236416",6475,264,13
1779950196,2026-05-28T06:36:36Z,BEL7NL,"46.336807,6.237086",6550,268,10
1779950198,2026-05-28T06:36:38Z,BEL7NL,"46.339142,6.237622",6650,268,8
1779950200,2026-05-28T06:36:40Z,BEL7NL,"46.341843,6.238091",6725,270,7
1779950203,2026-05-28T06:36:43Z,BEL7NL,"46.344864,6.23856",6850,271,6
1779950205,2026-05-28T06:36:45Z,BEL7NL,"46.347336,6.238962",6950,274,5
1779950207,2026-05-28T06:36:47Z,BEL7NL,"46.349689,6.239273",7025,274,5
1779950209,2026-05-28T06:36:49Z,BEL7NL,"46.352203,6.239616",7125,276,5
1779950211,2026-05-28T06:36:51Z,BEL7NL,"46.354904,6.23996",7250,274,4
1779950213,2026-05-28T06:36:53Z,BEL7NL,"46.358208,6.240303",7400,274,4
1779950215,2026-05-28T06:36:55Z,BEL7NL,"46.36058,6.240509",7525,274,3
