Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1780059995,2026-05-29T13:06:35Z,BEL9SE,"50.902042,4.486389",0,1,64
1780060185,2026-05-29T13:09:45Z,BEL9SE,"50.902096,4.486598",0,3,67
1780060198,2026-05-29T13:09:58Z,BEL9SE,"50.902199,4.486969",0,5,64
1780060211,2026-05-29T13:10:11Z,BEL9SE,"50.90237,4.487563",0,8,67
1780060215,2026-05-29T13:10:15Z,BEL9SE,"50.902439,4.487801",0,9,67
1780060238,2026-05-29T13:10:38Z,BEL9SE,"50.902893,4.489403",0,11,64
1780060251,2026-05-29T13:10:51Z,BEL9SE,"50.903194,4.490439",0,12,67
1780060255,2026-05-29T13:10:55Z,BEL9SE,"50.90329,4.490757",0,13,64
1780060264,2026-05-29T13:11:04Z,BEL9SE,"50.903511,4.49152",0,13,64
1780060273,2026-05-29T13:11:13Z,BEL9SE,"50.903755,4.49234",0,14,64
1780060276,2026-05-29T13:11:16Z,BEL9SE,"50.903824,4.492607",0,14,67
1780060281,2026-05-29T13:11:21Z,BEL9SE,"50.90395,4.493056",0,14,64
1780060284,2026-05-29T13:11:24Z,BEL9SE,"50.904041,4.493334",0,14,64
1780060286,2026-05-29T13:11:26Z,BEL9SE,"50.904102,4.49358",0,14,64
1780060298,2026-05-29T13:11:38Z,BEL9SE,"50.904442,4.494726",0,15,67
1780060300,2026-05-29T13:11:40Z,BEL9SE,"50.90451,4.494972",0,15,67
1780060310,2026-05-29T13:11:50Z,BEL9SE,"50.904778,4.495869",0,12,61
1780060317,2026-05-29T13:11:57Z,BEL9SE,"50.905048,4.496155",0,10,28
1780060331,2026-05-29T13:12:11Z,BEL9SE,"50.905769,4.496452",0,13,14
1780060338,2026-05-29T13:12:18Z,BEL9SE,"50.9062,4.496613",0,14,14
1780060342,2026-05-29T13:12:22Z,BEL9SE,"50.90641,4.496712",0,15,14
1780060345,2026-05-29T13:12:25Z,BEL9SE,"50.906673,4.496804",0,15,14
1780060353,2026-05-29T13:12:33Z,BEL9SE,"50.907223,4.497027",0,16,14
1780060359,2026-05-29T13:12:39Z,BEL9SE,"50.907768,4.497242",0,18,14
1780060369,2026-05-29T13:12:49Z,BEL9SE,"50.908619,4.497602",0,20,14
1780060374,2026-05-29T13:12:54Z,BEL9SE,"50.909096,4.497814",0,19,19
1780060378,2026-05-29T13:12:58Z,BEL9SE,"50.90934,4.498011",0,17,30
1780060381,2026-05-29T13:13:01Z,BEL9SE,"50.9095,4.498233",0,15,39
1780060391,2026-05-29T13:13:11Z,BEL9SE,"50.909946,4.498808",0,9,36
1780060398,2026-05-29T13:13:18Z,BEL9SE,"50.910179,4.498997",0,8,28
1780060409,2026-05-29T13:13:29Z,BEL9SE,"50.910542,4.499236",0,9,22
1780060416,2026-05-29T13:13:36Z,BEL9SE,"50.910828,4.49944",0,9,22
1780060424,2026-05-29T13:13:44Z,BEL9SE,"50.911171,4.499476",0,9,16
1780060433,2026-05-29T13:13:53Z,BEL9SE,"50.91148,4.499328",0,5,340
1780060441,2026-05-29T13:14:01Z,BEL9SE,"50.911507,4.499111",0,4,298
1780060491,2026-05-29T13:14:51Z,BEL9SE,"50.911377,4.498825",0,8,250
1780060498,2026-05-29T13:14:58Z,BEL9SE,"50.910995,4.49749",0,45,244
1780060507,2026-05-29T13:15:07Z,BEL9SE,"50.909912,4.493742",0,82,244
1780060518,2026-05-29T13:15:18Z,BEL9SE,"50.907574,4.485626",0,128,245
1780060530,2026-05-29T13:15:30Z,BEL9SE,"50.904408,4.474716",0,0,245
1780060539,2026-05-29T13:15:39Z,BEL9SE,"50.901581,4.464606",350,150,246
1780060545,2026-05-29T13:15:45Z,BEL9SE,"50.899845,4.458694",625,149,245
1780060552,2026-05-29T13:15:52Z,BEL9SE,"50.897736,4.451616",925,150,244
1780060561,2026-05-29T13:16:01Z,BEL9SE,"50.895035,4.442782",1225,154,244
1780060570,2026-05-29T13:16:10Z,BEL9SE,"50.892395,4.434052",1600,156,244
1780060576,2026-05-29T13:16:16Z,BEL9SE,"50.890228,4.427119",1900,155,242
1780060578,2026-05-29T13:16:18Z,BEL9SE,"50.889633,4.425412",1975,155,239
1780060580,2026-05-29T13:16:20Z,BEL9SE,"50.888855,4.423482",2075,153,235
1780060582,2026-05-29T13:16:22Z,BEL9SE,"50.887787,4.421387",2175,152,230
1780060584,2026-05-29T13:16:24Z,BEL9SE,"50.886856,4.419785",2275,152,226
1780060586,2026-05-29T13:16:26Z,BEL9SE,"50.885834,4.418335",2350,152,221
1780060588,2026-05-29T13:16:28Z,BEL9SE,"50.884689,4.417024",2425,151,215
1780060590,2026-05-29T13:16:30Z,BEL9SE,"50.883362,4.415836",2500,152,206
1780060593,2026-05-29T13:16:33Z,BEL9SE,"50.881851,4.414796",2575,152,203
1780060595,2026-05-29T13:16:35Z,BEL9SE,"50.880341,4.414139",2625,155,194
1780060597,2026-05-29T13:16:37Z,BEL9SE,"50.878922,4.413757",2700,157,187
1780060599,2026-05-29T13:16:39Z,BEL9SE,"50.877453,4.413681",2750,159,181
1780060601,2026-05-29T13:16:41Z,BEL9SE,"50.87587,4.413757",2825,160,176
1780060603,2026-05-29T13:16:43Z,BEL9SE,"50.874573,4.414054",2875,162,170
1780060605,2026-05-29T13:16:45Z,BEL9SE,"50.872787,4.414796",2975,163,163
1780060607,2026-05-29T13:16:47Z,BEL9SE,"50.871368,4.415613",3050,165,158
1780060609,2026-05-29T13:16:49Z,BEL9SE,"50.869995,4.416727",3125,166,152
1780060612,2026-05-29T13:16:52Z,BEL9SE,"50.868301,4.418434",3175,170,146
1780060614,2026-05-29T13:16:54Z,BEL9SE,"50.867023,4.419937",3225,174,141
1780060616,2026-05-29T13:16:56Z,BEL9SE,"50.866013,4.421329",3250,177,137
1780060618,2026-05-29T13:16:58Z,BEL9SE,"50.864731,4.423259",3300,181,135
1780060620,2026-05-29T13:17:00Z,BEL9SE,"50.863174,4.425709",3350,183,135
1780060622,2026-05-29T13:17:02Z,BEL9SE,"50.862091,4.427338",3375,186,135
1780060624,2026-05-29T13:17:04Z,BEL9SE,"50.860565,4.429791",3425,189,134
1780060626,2026-05-29T13:17:06Z,BEL9SE,"50.859604,4.431425",3450,193,133
1780060628,2026-05-29T13:17:08Z,BEL9SE,"50.858047,4.434022",3475,193,132
1780060631,2026-05-29T13:17:11Z,BEL9SE,"50.856857,4.436101",3525,198,131
1780060633,2026-05-29T13:17:13Z,BEL9SE,"50.855667,4.438248",3575,201,131
1780060635,2026-05-29T13:17:15Z,BEL9SE,"50.854202,4.440926",3600,204,130
1780060637,2026-05-29T13:17:17Z,BEL9SE,"50.852875,4.443376",3650,207,129
1780060639,2026-05-29T13:17:19Z,BEL9SE,"50.851711,4.445724",3675,211,129
1780060641,2026-05-29T13:17:21Z,BEL9SE,"50.850449,4.448127",3700,214,128
1780060643,2026-05-29T13:17:23Z,BEL9SE,"50.848824,4.45137",3750,218,128
1780060645,2026-05-29T13:17:25Z,BEL9SE,"50.847519,4.454041",3775,221,127
1780060647,2026-05-29T13:17:27Z,BEL9SE,"50.846355,4.456329",3800,227,127
1780060650,2026-05-29T13:17:30Z,BEL9SE,"50.845051,4.459076",3825,231,127
1780060652,2026-05-29T13:17:32Z,BEL9SE,"50.843719,4.461711",3875,234,127
1780060654,2026-05-29T13:17:34Z,BEL9SE,"50.842304,4.464645",3925,236,127
1780060656,2026-05-29T13:17:36Z,BEL9SE,"50.841095,4.467239",3950,242,127
1780060658,2026-05-29T13:17:38Z,BEL9SE,"50.839371,4.470767",4000,245,127
1780060662,2026-05-29T13:17:42Z,BEL9SE,"50.836533,4.476852",4100,252,126
1780060671,2026-05-29T13:17:51Z,BEL9SE,"50.83049,4.4894",4325,265,127
