Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1781804876,2026-06-18T17:47:56Z,EZS52CP,"35.339211,25.167326",0,0,315
1781804912,2026-06-18T17:48:32Z,EZS52CP,"35.33942,25.167398",0,5,8
1781804921,2026-06-18T17:48:41Z,EZS52CP,"35.339607,25.167603",0,7,45
1781804927,2026-06-18T17:48:47Z,EZS52CP,"35.33963,25.167862",0,7,78
1781804932,2026-06-18T17:48:52Z,EZS52CP,"35.339607,25.16807",0,7,95
1781804937,2026-06-18T17:48:57Z,EZS52CP,"35.339596,25.168276",0,7,95
1781804943,2026-06-18T17:49:03Z,EZS52CP,"35.339573,25.168509",0,7,95
1781804950,2026-06-18T17:49:10Z,EZS52CP,"35.339561,25.168772",0,7,95
1781804958,2026-06-18T17:49:18Z,EZS52CP,"35.339539,25.169121",0,9,95
1781804965,2026-06-18T17:49:25Z,EZS52CP,"35.339504,25.169531",0,11,95
1781804973,2026-06-18T17:49:33Z,EZS52CP,"35.339466,25.170029",0,12,95
1781804980,2026-06-18T17:49:40Z,EZS52CP,"35.339436,25.170536",0,13,95
1781804987,2026-06-18T17:49:47Z,EZS52CP,"35.339401,25.171093",0,14,95
1781804995,2026-06-18T17:49:55Z,EZS52CP,"35.339352,25.171738",0,15,95
1781805001,2026-06-18T17:50:01Z,EZS52CP,"35.339321,25.172253",0,15,95
1781805010,2026-06-18T17:50:10Z,EZS52CP,"35.339264,25.173054",0,15,95
1781805017,2026-06-18T17:50:17Z,EZS52CP,"35.339222,25.173681",0,16,95
1781805024,2026-06-18T17:50:24Z,EZS52CP,"35.339172,25.174412",0,18,95
1781805031,2026-06-18T17:50:31Z,EZS52CP,"35.339115,25.175171",0,19,95
1781805038,2026-06-18T17:50:38Z,EZS52CP,"35.339062,25.176018",0,21,95
1781805045,2026-06-18T17:50:45Z,EZS52CP,"35.339001,25.176867",0,21,95
1781805052,2026-06-18T17:50:52Z,EZS52CP,"35.338943,25.177626",0,17,95
1781805059,2026-06-18T17:50:59Z,EZS52CP,"35.338909,25.178225",0,15,95
1781805066,2026-06-18T17:51:06Z,EZS52CP,"35.338863,25.178926",0,17,95
1781805073,2026-06-18T17:51:13Z,EZS52CP,"35.338806,25.179649",0,19,95
1781805080,2026-06-18T17:51:20Z,EZS52CP,"35.338745,25.18046",0,20,95
1781805087,2026-06-18T17:51:27Z,EZS52CP,"35.338692,25.181252",0,21,95
1781805095,2026-06-18T17:51:35Z,EZS52CP,"35.338634,25.18218",0,21,95
1781805102,2026-06-18T17:51:42Z,EZS52CP,"35.338566,25.183096",0,22,95
1781805110,2026-06-18T17:51:50Z,EZS52CP,"35.338501,25.184038",0,19,95
1781805114,2026-06-18T17:51:54Z,EZS52CP,"35.338478,25.184536",0,18,95
1781805117,2026-06-18T17:51:57Z,EZS52CP,"35.338451,25.184769",0,18,95
1781805120,2026-06-18T17:52:00Z,EZS52CP,"35.338428,25.185085",0,18,95
1781805122,2026-06-18T17:52:02Z,EZS52CP,"35.338406,25.185371",0,18,95
1781805125,2026-06-18T17:52:05Z,EZS52CP,"35.338383,25.1856",0,18,95
1781805127,2026-06-18T17:52:07Z,EZS52CP,"35.338375,25.185806",0,17,95
1781805130,2026-06-18T17:52:10Z,EZS52CP,"35.338352,25.186098",0,16,95
1781805136,2026-06-18T17:52:16Z,EZS52CP,"35.338314,25.186668",0,14,95
1781805143,2026-06-18T17:52:23Z,EZS52CP,"35.33828,25.18718",0,12,95
1781805150,2026-06-18T17:52:30Z,EZS52CP,"35.338257,25.18763",0,13,95
1781805157,2026-06-18T17:52:37Z,EZS52CP,"35.338211,25.188173",0,12,95
1781805165,2026-06-18T17:52:45Z,EZS52CP,"35.338177,25.188641",0,10,95
1781805172,2026-06-18T17:52:52Z,EZS52CP,"35.338165,25.189079",0,12,92
1781805175,2026-06-18T17:52:55Z,EZS52CP,"35.338211,25.189304",0,12,78
1781805179,2026-06-18T17:52:59Z,EZS52CP,"35.338314,25.189518",0,12,61
1781805183,2026-06-18T17:53:03Z,EZS52CP,"35.338451,25.189747",0,12,56
1781805188,2026-06-18T17:53:08Z,EZS52CP,"35.338589,25.189962",0,10,50
1781805193,2026-06-18T17:53:13Z,EZS52CP,"35.338749,25.190163",0,9,45
1781805200,2026-06-18T17:53:20Z,EZS52CP,"35.338978,25.190292",0,7,19
