Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1787571774,2026-08-24T11:42:54Z,LOT1CG,"59.415878,24.800688",0,0,0
1787571828,2026-08-24T11:43:48Z,LOT1CG,"59.415665,24.800674",0,4,357
1787571841,2026-08-24T11:44:01Z,LOT1CG,"59.415447,24.800735",0,4,309
1787571849,2026-08-24T11:44:09Z,LOT1CG,"59.415367,24.800949",0,4,306
1787571854,2026-08-24T11:44:14Z,LOT1CG,"59.415295,24.801163",0,5,317
1787571862,2026-08-24T11:44:22Z,LOT1CG,"59.415192,24.801374",0,4,348
1787571880,2026-08-24T11:44:40Z,LOT1CG,"59.414989,24.801384",0,2,357
1787572047,2026-08-24T11:47:27Z,LOT1CG,"59.415161,24.80159",0,6,33
1787572051,2026-08-24T11:47:31Z,LOT1CG,"59.41523,24.801842",0,8,59
1787572055,2026-08-24T11:47:35Z,LOT1CG,"59.41526,24.802086",0,10,75
1787572058,2026-08-24T11:47:38Z,LOT1CG,"59.415272,24.802393",0,11,87
1787572059,2026-08-24T11:47:39Z,LOT1CG,"59.415272,24.802607",0,12,90
1787572063,2026-08-24T11:47:43Z,LOT1CG,"59.415272,24.802986",0,14,90
1787572066,2026-08-24T11:47:46Z,LOT1CG,"59.415272,24.803246",0,14,90
1787572067,2026-08-24T11:47:47Z,LOT1CG,"59.415264,24.803673",0,15,92
1787572071,2026-08-24T11:47:51Z,LOT1CG,"59.415237,24.804193",0,16,95
1787572073,2026-08-24T11:47:53Z,LOT1CG,"59.415218,24.804428",0,17,98
1787572075,2026-08-24T11:47:55Z,LOT1CG,"59.41518,24.804928",0,17,101
1787572080,2026-08-24T11:48:00Z,LOT1CG,"59.415112,24.80566",0,18,98
1787572082,2026-08-24T11:48:02Z,LOT1CG,"59.4151,24.805922",0,19,98
1787572084,2026-08-24T11:48:04Z,LOT1CG,"59.415081,24.806328",0,20,95
1787572085,2026-08-24T11:48:05Z,LOT1CG,"59.41507,24.80674",0,20,92
1787572088,2026-08-24T11:48:08Z,LOT1CG,"59.415058,24.807129",0,21,90
1787572090,2026-08-24T11:48:10Z,LOT1CG,"59.415062,24.807365",0,21,90
1787572091,2026-08-24T11:48:11Z,LOT1CG,"59.415058,24.807907",0,23,90
1787572092,2026-08-24T11:48:12Z,LOT1CG,"59.415062,24.808123",0,23,90
1787572093,2026-08-24T11:48:13Z,LOT1CG,"59.415051,24.808384",0,23,90
1787572094,2026-08-24T11:48:14Z,LOT1CG,"59.415058,24.808617",0,24,90
1787572095,2026-08-24T11:48:15Z,LOT1CG,"59.415062,24.808834",0,24,90
1787572096,2026-08-24T11:48:16Z,LOT1CG,"59.415062,24.809093",0,24,90
1787572098,2026-08-24T11:48:18Z,LOT1CG,"59.415062,24.809307",0,25,90
1787572099,2026-08-24T11:48:19Z,LOT1CG,"59.415062,24.809568",0,25,90
1787572100,2026-08-24T11:48:20Z,LOT1CG,"59.415051,24.809828",0,25,90
1787572101,2026-08-24T11:48:21Z,LOT1CG,"59.415051,24.810064",0,25,90
1787572102,2026-08-24T11:48:22Z,LOT1CG,"59.415058,24.810425",0,26,90
1787572110,2026-08-24T11:48:30Z,LOT1CG,"59.415051,24.812124",0,28,90
1787572116,2026-08-24T11:48:36Z,LOT1CG,"59.415039,24.814114",0,28,90
1787572124,2026-08-24T11:48:44Z,LOT1CG,"59.415035,24.815964",0,28,90
1787572132,2026-08-24T11:48:52Z,LOT1CG,"59.415035,24.817818",0,28,90
1787572138,2026-08-24T11:48:58Z,LOT1CG,"59.415035,24.819626",0,28,90
1787572146,2026-08-24T11:49:06Z,LOT1CG,"59.415028,24.821571",0,28,90
1787572153,2026-08-24T11:49:13Z,LOT1CG,"59.415028,24.823513",0,28,90
1787572161,2026-08-24T11:49:21Z,LOT1CG,"59.415012,24.825645",0,27,90
1787572168,2026-08-24T11:49:28Z,LOT1CG,"59.415012,24.827065",0,27,90
1787572176,2026-08-24T11:49:36Z,LOT1CG,"59.415005,24.829006",0,26,90
1787572182,2026-08-24T11:49:42Z,LOT1CG,"59.415001,24.830681",0,26,90
1787572190,2026-08-24T11:49:50Z,LOT1CG,"59.414993,24.832558",0,25,90
1787572198,2026-08-24T11:49:58Z,LOT1CG,"59.414989,24.834091",0,26,90
1787572204,2026-08-24T11:50:04Z,LOT1CG,"59.414982,24.835897",0,25,90
1787572212,2026-08-24T11:50:12Z,LOT1CG,"59.414982,24.837648",0,25,90
1787572219,2026-08-24T11:50:19Z,LOT1CG,"59.414978,24.839287",0,24,90
1787572226,2026-08-24T11:50:26Z,LOT1CG,"59.414967,24.841026",0,26,90
1787572233,2026-08-24T11:50:33Z,LOT1CG,"59.414959,24.842693",0,28,90
1787572241,2026-08-24T11:50:41Z,LOT1CG,"59.41497,24.844728",0,29,90
1787572242,2026-08-24T11:50:42Z,LOT1CG,"59.414967,24.845123",0,29,90
1787572243,2026-08-24T11:50:43Z,LOT1CG,"59.41497,24.84544",0,29,90
1787572244,2026-08-24T11:50:44Z,LOT1CG,"59.414967,24.845718",0,29,90
1787572246,2026-08-24T11:50:46Z,LOT1CG,"59.414967,24.84597",0,29,90
1787572248,2026-08-24T11:50:48Z,LOT1CG,"59.414959,24.846338",0,28,90
1787572249,2026-08-24T11:50:49Z,LOT1CG,"59.414955,24.846725",0,27,90
1787572250,2026-08-24T11:50:50Z,LOT1CG,"59.414959,24.846954",0,26,90
1787572251,2026-08-24T11:50:51Z,LOT1CG,"59.414959,24.847357",0,24,90
1787572254,2026-08-24T11:50:54Z,LOT1CG,"59.414959,24.847782",0,23,90
1787572262,2026-08-24T11:51:02Z,LOT1CG,"59.414925,24.848991",0,19,95
1787572264,2026-08-24T11:51:04Z,LOT1CG,"59.414829,24.849487",0,18,118
1787572266,2026-08-24T11:51:06Z,LOT1CG,"59.414646,24.849842",0,17,140
1787572270,2026-08-24T11:51:10Z,LOT1CG,"59.414425,24.850056",0,17,160
1787572273,2026-08-24T11:51:13Z,LOT1CG,"59.414192,24.850126",0,16,174
1787572279,2026-08-24T11:51:19Z,LOT1CG,"59.4137,24.850126",0,15,180
1787572286,2026-08-24T11:51:26Z,LOT1CG,"59.413364,24.849937",0,12,213
1787572293,2026-08-24T11:51:33Z,LOT1CG,"59.413239,24.848946",0,18,267
1787572295,2026-08-24T11:51:35Z,LOT1CG,"59.413235,24.84873",0,22,270
1787572297,2026-08-24T11:51:37Z,LOT1CG,"59.413239,24.848396",0,27,270
1787572298,2026-08-24T11:51:38Z,LOT1CG,"59.413235,24.847191",0,41,270
1787572300,2026-08-24T11:51:40Z,LOT1CG,"59.413235,24.846907",0,45,270
1787572301,2026-08-24T11:51:41Z,LOT1CG,"59.413235,24.845842",0,54,270
1787572302,2026-08-24T11:51:42Z,LOT1CG,"59.413239,24.845261",0,59,270
1787572303,2026-08-24T11:51:43Z,LOT1CG,"59.413239,24.84462",0,63,270
1787572307,2026-08-24T11:51:47Z,LOT1CG,"59.413239,24.842216",0,76,270
1787572308,2026-08-24T11:51:48Z,LOT1CG,"59.413246,24.841413",0,80,270
1787572310,2026-08-24T11:51:50Z,LOT1CG,"59.413239,24.839722",175,92,270
1787572312,2026-08-24T11:51:52Z,LOT1CG,"59.413223,24.837437",175,92,270
1787572314,2026-08-24T11:51:54Z,LOT1CG,"59.413239,24.835419",175,108,270
1787572321,2026-08-24T11:52:01Z,LOT1CG,"59.413273,24.828438",150,133,270
1787572328,2026-08-24T11:52:08Z,LOT1CG,"59.41333,24.818481",200,149,270
1787572337,2026-08-24T11:52:17Z,LOT1CG,"59.413467,24.806946",450,155,271
1787572345,2026-08-24T11:52:25Z,LOT1CG,"59.413651,24.79541",725,158,272
1787572353,2026-08-24T11:52:33Z,LOT1CG,"59.413696,24.783234",1075,158,270
1787572362,2026-08-24T11:52:42Z,LOT1CG,"59.413788,24.770966",1400,160,271
1787572368,2026-08-24T11:52:48Z,LOT1CG,"59.413643,24.76252",1575,161,266
1787572370,2026-08-24T11:52:50Z,LOT1CG,"59.413456,24.75968",1600,163,262
1787572372,2026-08-24T11:52:52Z,LOT1CG,"59.413055,24.756683",1650,165,257
1787572374,2026-08-24T11:52:54Z,LOT1CG,"59.412525,24.753523",1700,168,252
1787572376,2026-08-24T11:52:56Z,LOT1CG,"59.411774,24.750366",1725,171,246
1787572378,2026-08-24T11:52:58Z,LOT1CG,"59.410896,24.747557",1775,173,240
1787572380,2026-08-24T11:53:00Z,LOT1CG,"59.409874,24.744905",1850,176,231
1787572382,2026-08-24T11:53:02Z,LOT1CG,"59.408382,24.741968",1900,178,226
1787572384,2026-08-24T11:53:04Z,LOT1CG,"59.407078,24.73979",1950,181,221
1787572386,2026-08-24T11:53:06Z,LOT1CG,"59.405636,24.737612",2025,183,217
1787572389,2026-08-24T11:53:09Z,LOT1CG,"59.403992,24.735535",2100,184,213
1787572391,2026-08-24T11:53:11Z,LOT1CG,"59.402519,24.734013",2150,186,209
1787572393,2026-08-24T11:53:13Z,LOT1CG,"59.400982,24.732592",2200,188,206
1787572395,2026-08-24T11:53:15Z,LOT1CG,"59.399414,24.731323",2225,190,203
1787572397,2026-08-24T11:53:17Z,LOT1CG,"59.397583,24.730042",2275,194,200
1787572399,2026-08-24T11:53:19Z,LOT1CG,"59.395844,24.728851",2300,195,199
1787572401,2026-08-24T11:53:21Z,LOT1CG,"59.393719,24.727383",2350,198,199
1787572403,2026-08-24T11:53:23Z,LOT1CG,"59.392044,24.726288",2375,200,198
1787572405,2026-08-24T11:53:25Z,LOT1CG,"59.39035,24.725098",2400,206,199
1787572407,2026-08-24T11:53:27Z,LOT1CG,"59.388412,24.723783",2425,207,199
1787572409,2026-08-24T11:53:29Z,LOT1CG,"59.38641,24.722458",2450,210,199
1787572411,2026-08-24T11:53:31Z,LOT1CG,"59.384594,24.721132",2500,213,199
1787572413,2026-08-24T11:53:33Z,LOT1CG,"59.382751,24.719788",2525,216,199
