Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1774636256,2026-03-27T18:30:56Z,EZS46TW,"46.23447,6.108587",0,0,135
1774636422,2026-03-27T18:33:42Z,EZS46TW,"46.234322,6.108793",0,3,135
1774636432,2026-03-27T18:33:52Z,EZS46TW,"46.234177,6.109001",0,4,137
1774636446,2026-03-27T18:34:06Z,EZS46TW,"46.233948,6.109051",0,6,174
1774636449,2026-03-27T18:34:09Z,EZS46TW,"46.23381,6.108845",0,7,216
1774636459,2026-03-27T18:34:19Z,EZS46TW,"46.233536,6.108382",0,9,230
1774636464,2026-03-27T18:34:24Z,EZS46TW,"46.233505,6.108158",0,8,253
1774636469,2026-03-27T18:34:29Z,EZS46TW,"46.233551,6.107935",0,7,281
1774636477,2026-03-27T18:34:37Z,EZS46TW,"46.233715,6.107712",0,5,312
1774636486,2026-03-27T18:34:46Z,EZS46TW,"46.233891,6.107471",0,6,315
1774636491,2026-03-27T18:34:51Z,EZS46TW,"46.234032,6.107265",0,7,315
1774636498,2026-03-27T18:34:58Z,EZS46TW,"46.234188,6.107025",0,8,309
1774636502,2026-03-27T18:35:02Z,EZS46TW,"46.234222,6.106774",0,8,286
1774636507,2026-03-27T18:35:07Z,EZS46TW,"46.234158,6.106544",0,8,255
1774636515,2026-03-27T18:35:15Z,EZS46TW,"46.233948,6.106339",0,7,219
1774636521,2026-03-27T18:35:21Z,EZS46TW,"46.233784,6.106133",0,7,222
1774636527,2026-03-27T18:35:27Z,EZS46TW,"46.233624,6.105892",0,8,225
1774636534,2026-03-27T18:35:34Z,EZS46TW,"46.233471,6.105669",0,8,225
1774636538,2026-03-27T18:35:38Z,EZS46TW,"46.233334,6.105446",0,9,225
1774636545,2026-03-27T18:35:45Z,EZS46TW,"46.233124,6.105149",0,10,225
1774636553,2026-03-27T18:35:53Z,EZS46TW,"46.232864,6.104776",0,10,225
1774636561,2026-03-27T18:36:01Z,EZS46TW,"46.232574,6.104347",0,11,225
1774636569,2026-03-27T18:36:09Z,EZS46TW,"46.232311,6.103961",0,12,225
1774636575,2026-03-27T18:36:15Z,EZS46TW,"46.232037,6.103575",0,12,225
1774636583,2026-03-27T18:36:23Z,EZS46TW,"46.231678,6.103043",0,14,227
1774636586,2026-03-27T18:36:26Z,EZS46TW,"46.231522,6.102771",0,14,230
1774636590,2026-03-27T18:36:30Z,EZS46TW,"46.231396,6.102537",0,14,230
1774636594,2026-03-27T18:36:34Z,EZS46TW,"46.231213,6.102235",0,14,227
1774636597,2026-03-27T18:36:37Z,EZS46TW,"46.231052,6.101995",0,15,225
1774636601,2026-03-27T18:36:41Z,EZS46TW,"46.230869,6.101733",0,15,225
