Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775665148,2026-04-08T16:19:08Z,EZY13ZA,"51.158089,-0.177489",0,2,348
1775665163,2026-04-08T16:19:23Z,EZY13ZA,"51.157883,-0.177414",0,3,348
1775665177,2026-04-08T16:19:37Z,EZY13ZA,"51.157673,-0.177288",0,3,357
1775665194,2026-04-08T16:19:54Z,EZY13ZA,"51.157452,-0.177231",0,3,39
1775665212,2026-04-08T16:20:12Z,EZY13ZA,"51.157288,-0.177433",0,3,75
1775665223,2026-04-08T16:20:23Z,EZY13ZA,"51.157242,-0.177693",0,3,75
1775665236,2026-04-08T16:20:36Z,EZY13ZA,"51.157196,-0.177953",0,3,78
1775665340,2026-04-08T16:22:20Z,EZY13ZA,"51.157242,-0.177746",0,0,78
1775665347,2026-04-08T16:22:27Z,EZY13ZA,"51.15728,-0.177479",0,5,78
1775665355,2026-04-08T16:22:35Z,EZY13ZA,"51.157349,-0.177116",0,7,78
1775665362,2026-04-08T16:22:42Z,EZY13ZA,"51.157394,-0.176716",0,9,78
1775665370,2026-04-08T16:22:50Z,EZY13ZA,"51.157463,-0.176201",0,10,78
1775665377,2026-04-08T16:22:57Z,EZY13ZA,"51.157536,-0.175667",0,9,78
1775665382,2026-04-08T16:23:02Z,EZY13ZA,"51.157558,-0.175362",0,7,84
1775665388,2026-04-08T16:23:08Z,EZY13ZA,"51.157459,-0.175113",0,7,112
1775665396,2026-04-08T16:23:16Z,EZY13ZA,"51.157196,-0.174961",0,8,154
1775665406,2026-04-08T16:23:26Z,EZY13ZA,"51.156841,-0.174835",0,9,168
1775665415,2026-04-08T16:23:35Z,EZY13ZA,"51.156521,-0.174732",0,8,168
1775665420,2026-04-08T16:23:40Z,EZY13ZA,"51.156292,-0.174649",0,9,168
1775665425,2026-04-08T16:23:45Z,EZY13ZA,"51.156086,-0.174575",0,8,168
1775665433,2026-04-08T16:23:53Z,EZY13ZA,"51.155834,-0.174484",0,7,168
1775665440,2026-04-08T16:24:00Z,EZY13ZA,"51.155624,-0.174427",0,7,168
1775665448,2026-04-08T16:24:08Z,EZY13ZA,"51.155388,-0.174334",0,7,168
1775665455,2026-04-08T16:24:15Z,EZY13ZA,"51.15517,-0.174259",0,7,168
1775665462,2026-04-08T16:24:22Z,EZY13ZA,"51.154949,-0.174179",0,6,168
1775665470,2026-04-08T16:24:30Z,EZY13ZA,"51.154705,-0.174103",0,6,168
1775665478,2026-04-08T16:24:38Z,EZY13ZA,"51.154484,-0.174018",0,7,168
1775665485,2026-04-08T16:24:45Z,EZY13ZA,"51.154251,-0.173931",0,7,168
1775665493,2026-04-08T16:24:53Z,EZY13ZA,"51.15395,-0.173836",0,8,168
1775665500,2026-04-08T16:25:00Z,EZY13ZA,"51.153637,-0.173721",0,9,168
1775665507,2026-04-08T16:25:07Z,EZY13ZA,"51.153332,-0.173626",0,10,168
1775665513,2026-04-08T16:25:13Z,EZY13ZA,"51.153122,-0.17348",0,8,157
1775665518,2026-04-08T16:25:18Z,EZY13ZA,"51.153053,-0.173225",0,8,126
1775665522,2026-04-08T16:25:22Z,EZY13ZA,"51.153065,-0.172979",0,8,101
1775665526,2026-04-08T16:25:26Z,EZY13ZA,"51.153111,-0.172749",0,8,84
1775665531,2026-04-08T16:25:31Z,EZY13ZA,"51.153156,-0.172515",0,8,75
1775665534,2026-04-08T16:25:34Z,EZY13ZA,"51.153194,-0.17231",0,8,75
1775665538,2026-04-08T16:25:38Z,EZY13ZA,"51.153217,-0.1721",0,8,75
1775665542,2026-04-08T16:25:42Z,EZY13ZA,"51.153252,-0.171871",0,7,78
1775665546,2026-04-08T16:25:46Z,EZY13ZA,"51.153286,-0.171623",0,8,78
1775665553,2026-04-08T16:25:53Z,EZY13ZA,"51.153343,-0.171204",0,9,78
1775665560,2026-04-08T16:26:00Z,EZY13ZA,"51.153416,-0.170708",0,10,78
1775665567,2026-04-08T16:26:07Z,EZY13ZA,"51.153473,-0.17025",0,9,78
1775665574,2026-04-08T16:26:14Z,EZY13ZA,"51.15353,-0.169811",0,9,78
1775665581,2026-04-08T16:26:21Z,EZY13ZA,"51.15358,-0.169416",0,8,78
1775665588,2026-04-08T16:26:28Z,EZY13ZA,"51.153648,-0.16901",0,7,78
1775665595,2026-04-08T16:26:35Z,EZY13ZA,"51.153694,-0.16861",0,8,78
1775665602,2026-04-08T16:26:42Z,EZY13ZA,"51.153751,-0.16821",0,8,78
1775665609,2026-04-08T16:26:49Z,EZY13ZA,"51.153797,-0.167828",0,7,78
1775665616,2026-04-08T16:26:56Z,EZY13ZA,"51.153843,-0.167504",0,6,78
1775665621,2026-04-08T16:27:01Z,EZY13ZA,"51.15382,-0.167282",0,6,92
1775665628,2026-04-08T16:27:08Z,EZY13ZA,"51.153706,-0.167065",0,5,118
1775665639,2026-04-08T16:27:19Z,EZY13ZA,"51.153496,-0.166931",0,4,151
1775665654,2026-04-08T16:27:34Z,EZY13ZA,"51.153271,-0.166781",0,3,157
1775665668,2026-04-08T16:27:48Z,EZY13ZA,"51.153065,-0.166721",0,0,165
1775665822,2026-04-08T16:30:22Z,EZY13ZA,"51.152855,-0.166645",0,4,165
1775665833,2026-04-08T16:30:33Z,EZY13ZA,"51.152634,-0.166569",0,4,168
1775665846,2026-04-08T16:30:46Z,EZY13ZA,"51.152424,-0.166492",0,3,168
1775665946,2026-04-08T16:32:26Z,EZY13ZA,"51.152206,-0.166409",0,7,165
1775665953,2026-04-08T16:32:33Z,EZY13ZA,"51.151901,-0.166302",0,9,168
1775665958,2026-04-08T16:32:38Z,EZY13ZA,"51.15168,-0.166261",0,10,174
1775665965,2026-04-08T16:32:45Z,EZY13ZA,"51.151428,-0.166409",0,9,202
