Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1765505457,2025-12-12T02:10:57Z,UAE8Y,"2.748344,101.71508",0,0,323
1765505863,2025-12-12T02:17:43Z,UAE8Y,"2.74813,101.715225",0,2,326
1765505884,2025-12-12T02:18:04Z,UAE8Y,"2.747909,101.715332",0,2,306
1765505911,2025-12-12T02:18:31Z,UAE8Y,"2.747704,101.715485",0,2,261
1765505934,2025-12-12T02:18:54Z,UAE8Y,"2.747738,101.715698",0,2,253
1765505956,2025-12-12T02:19:16Z,UAE8Y,"2.747757,101.715904",0,0,233
1765506136,2025-12-12T02:22:16Z,UAE8Y,"2.74752,101.715729",0,6,213
1765506143,2025-12-12T02:22:23Z,UAE8Y,"2.747315,101.715759",0,7,185
1765506150,2025-12-12T02:22:30Z,UAE8Y,"2.747108,101.715881",0,7,160
1765506156,2025-12-12T02:22:36Z,UAE8Y,"2.746902,101.716034",0,8,149
1765506164,2025-12-12T02:22:44Z,UAE8Y,"2.746687,101.716194",0,9,146
1765506172,2025-12-12T02:22:52Z,UAE8Y,"2.746372,101.7164",0,10,146
1765506177,2025-12-12T02:22:57Z,UAE8Y,"2.74617,101.716537",0,11,146
1765506184,2025-12-12T02:23:04Z,UAE8Y,"2.745849,101.716751",0,12,146
1765506191,2025-12-12T02:23:11Z,UAE8Y,"2.745552,101.716957",0,11,146
1765506197,2025-12-12T02:23:17Z,UAE8Y,"2.745337,101.717041",0,8,157
1765506203,2025-12-12T02:23:23Z,UAE8Y,"2.745104,101.716957",0,8,185
1765506211,2025-12-12T02:23:31Z,UAE8Y,"2.7449,101.716743",0,8,219
1765506217,2025-12-12T02:23:37Z,UAE8Y,"2.744751,101.716522",0,8,230
1765506224,2025-12-12T02:23:44Z,UAE8Y,"2.744579,101.716278",0,9,233
1765506231,2025-12-12T02:23:51Z,UAE8Y,"2.744419,101.716057",0,10,236
1765506236,2025-12-12T02:23:56Z,UAE8Y,"2.744247,101.715813",0,11,236
1765506243,2025-12-12T02:24:03Z,UAE8Y,"2.744064,101.715546",0,12,236
1765506250,2025-12-12T02:24:10Z,UAE8Y,"2.743824,101.715187",0,12,236
1765506258,2025-12-12T02:24:18Z,UAE8Y,"2.743572,101.714813",0,13,236
1765506265,2025-12-12T02:24:25Z,UAE8Y,"2.74332,101.714439",0,14,236
1765506271,2025-12-12T02:24:31Z,UAE8Y,"2.743046,101.714043",0,15,236
1765506278,2025-12-12T02:24:38Z,UAE8Y,"2.742817,101.713692",0,15,236
1765506286,2025-12-12T02:24:46Z,UAE8Y,"2.742451,101.71315",0,16,236
1765506293,2025-12-12T02:24:53Z,UAE8Y,"2.742113,101.712654",0,17,236
1765506300,2025-12-12T02:25:00Z,UAE8Y,"2.741787,101.712181",0,19,236
1765506307,2025-12-12T02:25:07Z,UAE8Y,"2.741455,101.711685",0,20,236
1765506315,2025-12-12T02:25:15Z,UAE8Y,"2.740961,101.710953",0,21,236
1765506321,2025-12-12T02:25:21Z,UAE8Y,"2.740562,101.710381",0,21,236
1765506329,2025-12-12T02:25:29Z,UAE8Y,"2.740239,101.709885",0,17,236
1765506336,2025-12-12T02:25:36Z,UAE8Y,"2.739937,101.70945",0,15,236
1765506343,2025-12-12T02:25:43Z,UAE8Y,"2.739635,101.709007",0,15,236
1765506350,2025-12-12T02:25:50Z,UAE8Y,"2.739361,101.708611",0,15,236
1765506358,2025-12-12T02:25:58Z,UAE8Y,"2.739052,101.70813",0,15,236
1765506365,2025-12-12T02:26:05Z,UAE8Y,"2.738715,101.707649",0,16,236
1765506372,2025-12-12T02:26:12Z,UAE8Y,"2.738447,101.707245",0,17,236
1765506379,2025-12-12T02:26:19Z,UAE8Y,"2.738086,101.706726",0,18,236
