Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1765537119,2025-12-12T10:58:39Z,UAE83,"25.253586,55.370434",75,111,301
1765537146,2025-12-12T10:59:06Z,UAE83,"25.264551,55.35083",375,186,301
1765537152,2025-12-12T10:59:12Z,UAE83,"25.267273,55.345867",650,185,301
1765537160,2025-12-12T10:59:20Z,UAE83,"25.270882,55.339275",1000,186,301
1765537168,2025-12-12T10:59:28Z,UAE83,"25.274607,55.332485",1325,186,301
1765537175,2025-12-12T10:59:35Z,UAE83,"25.277353,55.327461",1475,189,300
1765537183,2025-12-12T10:59:43Z,UAE83,"25.281218,55.320412",1525,200,300
1765537191,2025-12-12T10:59:51Z,UAE83,"25.28536,55.312847",1625,210,301
1765537197,2025-12-12T10:59:57Z,UAE83,"25.288559,55.307056",1725,218,301
1765537205,2025-12-12T11:00:05Z,UAE83,"25.293274,55.298801",1875,227,302
1765537213,2025-12-12T11:00:13Z,UAE83,"25.297882,55.290977",2125,230,303
1765537222,2025-12-12T11:00:22Z,UAE83,"25.302841,55.282795",2450,230,304
1765537228,2025-12-12T11:00:28Z,UAE83,"25.306541,55.276985",2650,232,304
1765537236,2025-12-12T11:00:36Z,UAE83,"25.311941,55.268486",2950,234,304
1765537245,2025-12-12T11:00:45Z,UAE83,"25.317015,55.260452",3125,241,304
1765537253,2025-12-12T11:00:53Z,UAE83,"25.322323,55.252056",3250,249,304
1765537259,2025-12-12T11:00:59Z,UAE83,"25.326698,55.245216",3350,257,304
1765537267,2025-12-12T11:01:07Z,UAE83,"25.332518,55.236095",3550,265,304
1765537276,2025-12-12T11:01:16Z,UAE83,"25.338522,55.226509",3750,271,304
1765537284,2025-12-12T11:01:24Z,UAE83,"25.344635,55.21698",4075,273,305
1765537292,2025-12-12T11:01:32Z,UAE83,"25.350174,55.207569",4375,275,300
1765537294,2025-12-12T11:01:34Z,UAE83,"25.351456,55.205029",4450,275,299
1765537296,2025-12-12T11:01:36Z,UAE83,"25.3526,55.202435",4525,275,295
1765537298,2025-12-12T11:01:38Z,UAE83,"25.353836,55.199078",4650,274,293
1765537301,2025-12-12T11:01:41Z,UAE83,"25.354723,55.196453",4725,274,290
1765537303,2025-12-12T11:01:43Z,UAE83,"25.355421,55.193913",4800,274,288
1765537305,2025-12-12T11:01:45Z,UAE83,"25.356119,55.191116",4875,274,285
1765537307,2025-12-12T11:01:47Z,UAE83,"25.356628,55.188599",4950,274,283
1765537309,2025-12-12T11:01:49Z,UAE83,"25.357132,55.185749",5025,274,281
1765537311,2025-12-12T11:01:51Z,UAE83,"25.357407,55.183514",5100,275,278
1765537313,2025-12-12T11:01:53Z,UAE83,"25.357748,55.179817",5175,275,276
1765537315,2025-12-12T11:01:55Z,UAE83,"25.357864,55.177002",5250,276,272
1765537317,2025-12-12T11:01:57Z,UAE83,"25.357841,55.173443",5350,276,270
1765537319,2025-12-12T11:01:59Z,UAE83,"25.357748,55.170696",5425,276,268
