Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1765210674,2025-12-08T16:17:54Z,KLM1936,"46.230045,6.105367",0,0,135
1765211577,2025-12-08T16:32:57Z,KLM1936,"46.230194,6.105149",0,3,137
1765211595,2025-12-08T16:33:15Z,KLM1936,"46.2304,6.104949",0,3,185
1765211617,2025-12-08T16:33:37Z,KLM1936,"46.230621,6.105085",0,2,222
1765211637,2025-12-08T16:33:57Z,KLM1936,"46.230778,6.1053",0,2,225
1765211884,2025-12-08T16:38:04Z,KLM1936,"46.230713,6.105068",0,5,253
1765211890,2025-12-08T16:38:10Z,KLM1936,"46.230747,6.104862",0,6,286
1765211895,2025-12-08T16:38:15Z,KLM1936,"46.230854,6.104656",0,7,306
1765211906,2025-12-08T16:38:26Z,KLM1936,"46.231075,6.10433",0,6,315
1765211915,2025-12-08T16:38:35Z,KLM1936,"46.231297,6.104021",0,8,315
1765211920,2025-12-08T16:38:40Z,KLM1936,"46.231434,6.103815",0,9,315
1765211924,2025-12-08T16:38:44Z,KLM1936,"46.231586,6.103609",0,11,312
1765211929,2025-12-08T16:38:49Z,KLM1936,"46.231682,6.103391",0,9,292
1765211933,2025-12-08T16:38:53Z,KLM1936,"46.231678,6.103163",0,8,267
1765211937,2025-12-08T16:38:57Z,KLM1936,"46.231609,6.10294",0,8,241
1765211942,2025-12-08T16:39:02Z,KLM1936,"46.231499,6.102738",0,9,230
1765211945,2025-12-08T16:39:05Z,KLM1936,"46.231396,6.102537",0,9,233
1765211951,2025-12-08T16:39:11Z,KLM1936,"46.231236,6.102252",0,10,227
1765211955,2025-12-08T16:39:15Z,KLM1936,"46.231087,6.102047",0,11,225
1765211961,2025-12-08T16:39:21Z,KLM1936,"46.230865,6.101721",0,10,230
1765211967,2025-12-08T16:39:27Z,KLM1936,"46.230804,6.101463",0,6,258
1765211977,2025-12-08T16:39:37Z,KLM1936,"46.230858,6.101247",0,2,289
1765212058,2025-12-08T16:40:58Z,KLM1936,"46.230961,6.101029",0,6,309
1765212064,2025-12-08T16:41:04Z,KLM1936,"46.231178,6.10088",0,10,345
1765212069,2025-12-08T16:41:09Z,KLM1936,"46.231434,6.100914",0,12,11
1765212074,2025-12-08T16:41:14Z,KLM1936,"46.231762,6.101046",0,14,16
1765212078,2025-12-08T16:41:18Z,KLM1936,"46.232018,6.101171",0,14,16
1765212082,2025-12-08T16:41:22Z,KLM1936,"46.232265,6.101214",0,14,354
1765212087,2025-12-08T16:41:27Z,KLM1936,"46.232483,6.101046",0,8,329
1765212095,2025-12-08T16:41:35Z,KLM1936,"46.232704,6.101051",0,6,19
1765212103,2025-12-08T16:41:43Z,KLM1936,"46.232838,6.101264",0,5,47
1765212107,2025-12-08T16:41:47Z,KLM1936,"46.233021,6.101549",0,15,47
1765212110,2025-12-08T16:41:50Z,KLM1936,"46.233238,6.101892",0,24,45
1765212112,2025-12-08T16:41:52Z,KLM1936,"46.233547,6.102336",0,38,45
1765212113,2025-12-08T16:41:53Z,KLM1936,"46.233727,6.102579",0,43,45
1765212114,2025-12-08T16:41:54Z,KLM1936,"46.233879,6.102821",0,48,45
1765212115,2025-12-08T16:41:55Z,KLM1936,"46.234066,6.103094",0,52,45
1765212116,2025-12-08T16:41:56Z,KLM1936,"46.234371,6.103542",0,57,45
1765212117,2025-12-08T16:41:57Z,KLM1936,"46.2346,6.103884",0,61,45
1765212119,2025-12-08T16:41:59Z,KLM1936,"46.234867,6.104279",0,66,45
1765212126,2025-12-08T16:42:06Z,KLM1936,"46.237106,6.107528",1175,99,45
1765212133,2025-12-08T16:42:13Z,KLM1936,"46.239395,6.110944",1175,120,46
1765212141,2025-12-08T16:42:21Z,KLM1936,"46.243469,6.116973",1200,147,46
1765212149,2025-12-08T16:42:29Z,KLM1936,"46.246902,6.122131",1375,154,46
1765212155,2025-12-08T16:42:35Z,KLM1936,"46.249969,6.126821",1625,152,46
1765212163,2025-12-08T16:42:43Z,KLM1936,"46.254089,6.132984",1975,152,46
1765212172,2025-12-08T16:42:52Z,KLM1936,"46.258121,6.139023",2275,154,47
1765212180,2025-12-08T16:43:00Z,KLM1936,"46.26231,6.145546",2600,154,46
1765212186,2025-12-08T16:43:06Z,KLM1936,"46.265396,6.1502",2825,156,46
1765212194,2025-12-08T16:43:14Z,KLM1936,"46.269653,6.15643",3225,154,45
1765212203,2025-12-08T16:43:23Z,KLM1936,"46.273819,6.162325",3650,150,44
1765212209,2025-12-08T16:43:29Z,KLM1936,"46.276928,6.166626",3925,152,43
1765212217,2025-12-08T16:43:37Z,KLM1936,"46.281162,6.1726",4275,156,44
1765212225,2025-12-08T16:43:45Z,KLM1936,"46.2854,6.178872",4600,160,45
1765212232,2025-12-08T16:43:52Z,KLM1936,"46.288891,6.183998",4850,163,45
1765212240,2025-12-08T16:44:00Z,KLM1936,"46.29332,6.190595",5150,170,45
1765212253,2025-12-08T16:44:13Z,KLM1936,"46.300995,6.20192",5400,194,46
1765212266,2025-12-08T16:44:26Z,KLM1936,"46.30933,6.214417",5625,218,46
1765212281,2025-12-08T16:44:41Z,KLM1936,"46.320831,6.231593",6025,252,45
1765212295,2025-12-08T16:44:55Z,KLM1936,"46.333694,6.25035",6475,278,44
1765212302,2025-12-08T16:45:02Z,KLM1936,"46.340286,6.25792",6850,281,35
1765212304,2025-12-08T16:45:04Z,KLM1936,"46.342937,6.26001",6975,282,31
1765212306,2025-12-08T16:45:06Z,KLM1936,"46.345173,6.261658",7100,284,27
1765212308,2025-12-08T16:45:08Z,KLM1936,"46.348206,6.263279",7275,283,21
1765212310,2025-12-08T16:45:10Z,KLM1936,"46.350998,6.264485",7425,284,16
1765212312,2025-12-08T16:45:12Z,KLM1936,"46.353561,6.265222",7575,283,12
1765212315,2025-12-08T16:45:15Z,KLM1936,"46.356159,6.265778",7725,283,9
1765212317,2025-12-08T16:45:17Z,KLM1936,"46.359146,6.26616",7900,282,5
1765212319,2025-12-08T16:45:19Z,KLM1936,"46.361618,6.266294",8050,282,3
1765212321,2025-12-08T16:45:21Z,KLM1936,"46.364353,6.266327",8200,281,1
