Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1765222204,2025-12-08T19:30:04Z,KLM809,"52.310886,4.769077",0,5,272
1765222211,2025-12-08T19:30:11Z,KLM809,"52.310886,4.769344",0,6,272
1765222217,2025-12-08T19:30:17Z,KLM809,"52.310867,4.769597",0,6,272
1765222221,2025-12-08T19:30:21Z,KLM809,"52.310856,4.769813",0,5,272
1765222229,2025-12-08T19:30:29Z,KLM809,"52.310852,4.770088",0,5,272
1765222235,2025-12-08T19:30:35Z,KLM809,"52.310844,4.770322",0,4,272
1765222485,2025-12-08T19:34:45Z,KLM809,"52.310841,4.770088",0,3,272
1765222492,2025-12-08T19:34:52Z,KLM809,"52.310852,4.769878",0,4,275
1765222497,2025-12-08T19:34:57Z,KLM809,"52.310902,4.769675",0,6,284
1765222503,2025-12-08T19:35:03Z,KLM809,"52.311039,4.769459",0,8,303
1765222508,2025-12-08T19:35:08Z,KLM809,"52.31126,4.769361",0,10,334
1765222514,2025-12-08T19:35:14Z,KLM809,"52.311504,4.76942",0,11,5
1765222520,2025-12-08T19:35:20Z,KLM809,"52.31179,4.769707",0,12,28
1765222525,2025-12-08T19:35:25Z,KLM809,"52.312077,4.769989",0,13,30
1765222532,2025-12-08T19:35:32Z,KLM809,"52.312412,4.770342",0,14,30
1765222535,2025-12-08T19:35:35Z,KLM809,"52.312592,4.770546",0,15,33
1765222539,2025-12-08T19:35:39Z,KLM809,"52.312866,4.770832",0,15,30
1765222543,2025-12-08T19:35:43Z,KLM809,"52.313076,4.771068",0,15,33
1765222546,2025-12-08T19:35:46Z,KLM809,"52.31329,4.771309",0,15,33
1765222550,2025-12-08T19:35:50Z,KLM809,"52.313496,4.771519",0,15,33
1765222553,2025-12-08T19:35:53Z,KLM809,"52.313679,4.771729",0,15,33
1765222556,2025-12-08T19:35:56Z,KLM809,"52.313873,4.771957",0,14,36
1765222562,2025-12-08T19:36:02Z,KLM809,"52.314102,4.772358",0,13,45
1765222565,2025-12-08T19:36:05Z,KLM809,"52.314205,4.772618",0,13,53
1765222568,2025-12-08T19:36:08Z,KLM809,"52.314312,4.772834",0,12,53
1765222572,2025-12-08T19:36:12Z,KLM809,"52.314457,4.773102",0,11,45
1765222576,2025-12-08T19:36:16Z,KLM809,"52.314629,4.77335",0,12,42
1765222581,2025-12-08T19:36:21Z,KLM809,"52.314789,4.77356",0,12,39
