Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1765273909,2025-12-09T09:51:49Z,MAS1057,"2.75037,101.700104",0,11,236
1765273916,2025-12-09T09:51:56Z,MAS1057,"2.750155,101.699814",0,9,227
1765273922,2025-12-09T09:52:02Z,MAS1057,"2.749947,101.69973",0,9,191
1765273927,2025-12-09T09:52:07Z,MAS1057,"2.749741,101.699768",0,9,163
1765273934,2025-12-09T09:52:14Z,MAS1057,"2.749527,101.699898",0,9,146
1765273941,2025-12-09T09:52:21Z,MAS1057,"2.749271,101.700058",0,9,146
1765273947,2025-12-09T09:52:27Z,MAS1057,"2.749061,101.700203",0,9,146
1765273955,2025-12-09T09:52:35Z,MAS1057,"2.748768,101.700417",0,11,143
1765273959,2025-12-09T09:52:39Z,MAS1057,"2.74856,101.700546",0,13,146
1765273963,2025-12-09T09:52:43Z,MAS1057,"2.74831,101.700706",0,14,146
1765273968,2025-12-09T09:52:48Z,MAS1057,"2.74806,101.700874",0,15,146
1765273974,2025-12-09T09:52:54Z,MAS1057,"2.747623,101.701172",0,16,146
1765273981,2025-12-09T09:53:01Z,MAS1057,"2.747303,101.701393",0,15,146
1765273989,2025-12-09T09:53:09Z,MAS1057,"2.746948,101.70163",0,9,149
1765273995,2025-12-09T09:53:15Z,MAS1057,"2.746733,101.701744",0,8,154
1765274002,2025-12-09T09:53:22Z,MAS1057,"2.7465,101.701752",0,7,185
1765274010,2025-12-09T09:53:30Z,MAS1057,"2.746268,101.701591",0,7,225
1765274019,2025-12-09T09:53:39Z,MAS1057,"2.746116,101.701378",0,7,236
1765274027,2025-12-09T09:53:47Z,MAS1057,"2.745987,101.701172",0,8,236
1765274037,2025-12-09T09:53:57Z,MAS1057,"2.745733,101.700798",0,0,236
1765274044,2025-12-09T09:54:04Z,MAS1057,"2.745593,101.700592",0,9,236
1765274052,2025-12-09T09:54:12Z,MAS1057,"2.745372,101.700264",0,9,236
1765274067,2025-12-09T09:54:27Z,MAS1057,"2.744991,101.699707",0,10,236
1765274088,2025-12-09T09:54:48Z,MAS1057,"2.744545,101.699043",0,0,236
1765274323,2025-12-09T09:58:43Z,MAS1057,"2.744064,101.698341",0,7,236
1765274331,2025-12-09T09:58:51Z,MAS1057,"2.743894,101.698097",0,9,233
1765274337,2025-12-09T09:58:57Z,MAS1057,"2.743732,101.697876",0,8,233
1765274346,2025-12-09T09:59:06Z,MAS1057,"2.743515,101.697823",0,6,230
1765274364,2025-12-09T09:59:24Z,MAS1057,"2.743312,101.697968",0,3,230
1765274375,2025-12-09T09:59:35Z,MAS1057,"2.743057,101.698143",0,10,137
1765274378,2025-12-09T09:59:38Z,MAS1057,"2.742811,101.698311",0,24,140
1765274380,2025-12-09T09:59:40Z,MAS1057,"2.742554,101.698471",0,34,143
1765274382,2025-12-09T09:59:42Z,MAS1057,"2.742222,101.698708",0,43,143
1765274383,2025-12-09T09:59:43Z,MAS1057,"2.741913,101.698914",0,48,143
1765274384,2025-12-09T09:59:44Z,MAS1057,"2.741682,101.699066",0,53,143
1765274386,2025-12-09T09:59:46Z,MAS1057,"2.741263,101.699341",0,63,143
1765274387,2025-12-09T09:59:47Z,MAS1057,"2.740894,101.6996",0,67,143
1765274389,2025-12-09T09:59:49Z,MAS1057,"2.740588,101.699799",0,72,143
1765274390,2025-12-09T09:59:50Z,MAS1057,"2.740128,101.700104",0,80,143
1765274391,2025-12-09T09:59:51Z,MAS1057,"2.739785,101.700333",0,84,146
1765274392,2025-12-09T09:59:52Z,MAS1057,"2.739292,101.700661",0,88,146
1765274394,2025-12-09T09:59:54Z,MAS1057,"2.738913,101.700928",0,94,146
1765274395,2025-12-09T09:59:55Z,MAS1057,"2.738587,101.701141",0,98,146
1765274397,2025-12-09T09:59:57Z,MAS1057,"2.737152,101.702103",0,110,146
1765274406,2025-12-09T10:00:06Z,MAS1057,"2.732698,101.705078",0,145,146
1765274415,2025-12-09T10:00:15Z,MAS1057,"2.727216,101.708725",300,166,146
1765274423,2025-12-09T10:00:23Z,MAS1057,"2.72163,101.712372",575,171,146
1765274430,2025-12-09T10:00:30Z,MAS1057,"2.717514,101.715012",875,170,146
1765274438,2025-12-09T10:00:38Z,MAS1057,"2.711668,101.718719",1200,173,147
1765274447,2025-12-09T10:00:47Z,MAS1057,"2.705795,101.722504",1450,178,146
1765274455,2025-12-09T10:00:55Z,MAS1057,"2.699657,101.726532",1625,187,146
1765274464,2025-12-09T10:01:04Z,MAS1057,"2.69328,101.730743",1750,198,146
1765274470,2025-12-09T10:01:10Z,MAS1057,"2.6884,101.734001",1900,206,146
1765274479,2025-12-09T10:01:19Z,MAS1057,"2.681213,101.738892",2025,217,145
1765274488,2025-12-09T10:01:28Z,MAS1057,"2.673309,101.744194",2200,230,146
1765274494,2025-12-09T10:01:34Z,MAS1057,"2.667862,101.747887",2325,239,145
1765274503,2025-12-09T10:01:43Z,MAS1057,"2.659286,101.753738",2500,252,145
1765274509,2025-12-09T10:01:49Z,MAS1057,"2.652779,101.758263",2700,259,145
