Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762902168,2025-11-11T23:02:48Z,MXD2404,"1.659355,103.663017",1350,169,341
1762902176,2025-11-11T23:02:56Z,MXD2404,"1.664987,103.661118",1775,165,341
1762902183,2025-11-11T23:03:03Z,MXD2404,"1.66941,103.659317",2175,158,331
1762902185,2025-11-11T23:03:05Z,MXD2404,"1.670853,103.658371",2300,155,324
1762902188,2025-11-11T23:03:08Z,MXD2404,"1.672714,103.656845",2450,152,317
1762902190,2025-11-11T23:03:10Z,MXD2404,"1.673859,103.655586",2575,150,313
1762902192,2025-11-11T23:03:12Z,MXD2404,"1.674683,103.654518",2675,149,307
1762902195,2025-11-11T23:03:15Z,MXD2404,"1.675781,103.652931",2825,147,303
1762902197,2025-11-11T23:03:17Z,MXD2404,"1.676468,103.651726",2925,146,300
1762902199,2025-11-11T23:03:19Z,MXD2404,"1.6772,103.650276",3025,145,297
1762902201,2025-11-11T23:03:21Z,MXD2404,"1.67775,103.649071",3125,145,293
1762902204,2025-11-11T23:03:24Z,MXD2404,"1.678253,103.647812",3200,145,292
1762902206,2025-11-11T23:03:26Z,MXD2404,"1.678813,103.646439",3300,145,291
1762902208,2025-11-11T23:03:28Z,MXD2404,"1.679325,103.64521",3375,146,291
1762902210,2025-11-11T23:03:30Z,MXD2404,"1.679931,103.643692",3475,146,292
1762902212,2025-11-11T23:03:32Z,MXD2404,"1.680443,103.642464",3550,147,292
1762902214,2025-11-11T23:03:34Z,MXD2404,"1.680955,103.641182",3625,148,292
1762902216,2025-11-11T23:03:36Z,MXD2404,"1.681686,103.639526",3700,151,292
1762902219,2025-11-11T23:03:39Z,MXD2404,"1.682072,103.63858",3725,154,292
1762902221,2025-11-11T23:03:41Z,MXD2404,"1.682863,103.636734",3800,157,293
1762902223,2025-11-11T23:03:43Z,MXD2404,"1.683469,103.635361",3825,160,293
1762902225,2025-11-11T23:03:45Z,MXD2404,"1.684074,103.633987",3875,163,293
1762902227,2025-11-11T23:03:47Z,MXD2404,"1.684799,103.632454",3900,167,293
1762902229,2025-11-11T23:03:49Z,MXD2404,"1.685517,103.630814",3950,172,294
1762902232,2025-11-11T23:03:52Z,MXD2404,"1.686308,103.629059",4000,175,294
1762902238,2025-11-11T23:03:58Z,MXD2404,"1.688589,103.624138",4100,187,294
1762902246,2025-11-11T23:04:06Z,MXD2404,"1.691895,103.617043",4250,201,294
1762902253,2025-11-11T23:04:13Z,MXD2404,"1.694366,103.611778",4350,213,295
1762902261,2025-11-11T23:04:21Z,MXD2404,"1.698179,103.603821",4575,225,295
1762902268,2025-11-11T23:04:28Z,MXD2404,"1.701096,103.597534",4850,229,294
1762902276,2025-11-11T23:04:36Z,MXD2404,"1.705022,103.589043",5125,238,294
1762902289,2025-11-11T23:04:49Z,MXD2404,"1.711258,103.57547",5575,253,294
1762902302,2025-11-11T23:05:02Z,MXD2404,"1.717778,103.56144",6175,259,294
1762902316,2025-11-11T23:05:16Z,MXD2404,"1.724854,103.546425",6825,266,295
1762902329,2025-11-11T23:05:29Z,MXD2404,"1.731883,103.531601",7450,272,295
1762902343,2025-11-11T23:05:43Z,MXD2404,"1.739052,103.516495",8075,276,295
1762902355,2025-11-11T23:05:55Z,MXD2404,"1.746361,103.50106",8675,281,295
1762902369,2025-11-11T23:06:09Z,MXD2404,"1.753856,103.485336",9250,286,295
1762902384,2025-11-11T23:06:24Z,MXD2404,"1.762561,103.46701",10000,289,295
1762902397,2025-11-11T23:06:37Z,MXD2404,"1.769806,103.451645",10550,295,295
1762902410,2025-11-11T23:06:50Z,MXD2404,"1.778046,103.434235",10775,313,295
1762902423,2025-11-11T23:07:03Z,MXD2404,"1.786514,103.416306",11000,332,295
1762902437,2025-11-11T23:07:17Z,MXD2404,"1.795427,103.3974",11475,340,294
1762902449,2025-11-11T23:07:29Z,MXD2404,"1.803909,103.379303",12025,344,295
1762902481,2025-11-11T23:08:01Z,MXD2404,"1.825928,103.332558",13475,353,295
1762902512,2025-11-11T23:08:32Z,MXD2404,"1.84758,103.286522",14900,362,295
1762902545,2025-11-11T23:09:05Z,MXD2404,"1.872098,103.23616",16350,372,296
1762902576,2025-11-11T23:09:36Z,MXD2404,"1.896057,103.187691",17675,381,296
1762902607,2025-11-11T23:10:07Z,MXD2404,"1.920364,103.138435",19000,388,296
1762902640,2025-11-11T23:10:40Z,MXD2404,"1.946396,103.085281",19625,393,295
1762902672,2025-11-11T23:11:12Z,MXD2404,"1.972977,103.03083",20000,396,295
1762902704,2025-11-11T23:11:44Z,MXD2404,"1.997955,102.979836",19975,396,295
1762902735,2025-11-11T23:12:15Z,MXD2404,"2.023499,102.927605",19975,398,295
1762902766,2025-11-11T23:12:46Z,MXD2404,"2.048298,102.876923",19975,398,295
1762902799,2025-11-11T23:13:19Z,MXD2404,"2.074833,102.822563",19975,398,295
1762902830,2025-11-11T23:13:50Z,MXD2404,"2.100065,102.770851",19975,398,295
1762902861,2025-11-11T23:14:21Z,MXD2404,"2.124527,102.720863",19975,398,295
1762902893,2025-11-11T23:14:53Z,MXD2404,"2.151031,102.667519",19725,382,299
1762902899,2025-11-11T23:14:59Z,MXD2404,"2.157257,102.658112",19525,378,305
1762902902,2025-11-11T23:15:02Z,MXD2404,"2.159363,102.655365",19475,377,307
1762902904,2025-11-11T23:15:04Z,MXD2404,"2.162258,102.651894",19400,376,309
1762902906,2025-11-11T23:15:06Z,MXD2404,"2.164586,102.649292",19350,374,312
1762902908,2025-11-11T23:15:08Z,MXD2404,"2.167236,102.646523",19275,374,313
1762902910,2025-11-11T23:15:10Z,MXD2404,"2.16994,102.64389",19225,372,315
1762902912,2025-11-11T23:15:12Z,MXD2404,"2.172729,102.641304",19175,371,317
1762902915,2025-11-11T23:15:15Z,MXD2404,"2.175572,102.638824",19125,370,319
1762902917,2025-11-11T23:15:17Z,MXD2404,"2.178784,102.636269",19050,370,320
1762902919,2025-11-11T23:15:19Z,MXD2404,"2.181244,102.634415",19000,368,322
1762902921,2025-11-11T23:15:21Z,MXD2404,"2.184324,102.63224",18950,368,324
1762902923,2025-11-11T23:15:23Z,MXD2404,"2.186559,102.630722",18900,366,326
1762902926,2025-11-11T23:15:26Z,MXD2404,"2.190903,102.627991",18800,366,328
1762902928,2025-11-11T23:15:28Z,MXD2404,"2.193542,102.626465",18750,366,329
1762902930,2025-11-11T23:15:30Z,MXD2404,"2.197126,102.624519",18675,366,331
1762902932,2025-11-11T23:15:32Z,MXD2404,"2.200105,102.622963",18600,365,332
1762902934,2025-11-11T23:15:34Z,MXD2404,"2.203131,102.621445",18550,364,332
1762902936,2025-11-11T23:15:36Z,MXD2404,"2.206157,102.619926",18500,364,333
1762902938,2025-11-11T23:15:38Z,MXD2404,"2.209788,102.61808",18425,363,333
1762902941,2025-11-11T23:15:41Z,MXD2404,"2.213104,102.616402",18375,363,332
1762902943,2025-11-11T23:15:43Z,MXD2404,"2.21608,102.614868",18300,363,332
1762902945,2025-11-11T23:15:45Z,MXD2404,"2.219696,102.613052",18225,363,332
1762902947,2025-11-11T23:15:47Z,MXD2404,"2.222672,102.611511",18150,361,332
1762902949,2025-11-11T23:15:49Z,MXD2404,"2.226883,102.609375",18075,361,332
1762902983,2025-11-11T23:16:23Z,MXD2404,"2.27037,102.587212",17125,359,332
1762903016,2025-11-11T23:16:56Z,MXD2404,"2.324586,102.559555",16225,349,332
1762903048,2025-11-11T23:17:28Z,MXD2404,"2.369659,102.536514",15700,345,332
1762903080,2025-11-11T23:18:00Z,MXD2404,"2.415875,102.512955",15150,342,332
1762903115,2025-11-11T23:18:35Z,MXD2404,"2.466198,102.487244",14925,341,332
1762903146,2025-11-11T23:19:06Z,MXD2404,"2.50721,102.463707",14375,338,323
1762903150,2025-11-11T23:19:10Z,MXD2404,"2.513216,102.459114",14300,340,321
1762903152,2025-11-11T23:19:12Z,MXD2404,"2.515636,102.457123",14275,339,320
1762903155,2025-11-11T23:19:15Z,MXD2404,"2.518523,102.454704",14225,339,319
1762903157,2025-11-11T23:19:17Z,MXD2404,"2.520897,102.452621",14200,340,318
1762903159,2025-11-11T23:19:19Z,MXD2404,"2.52301,102.450722",14175,339,317
1762903161,2025-11-11T23:19:21Z,MXD2404,"2.525971,102.447891",14125,340,316
1762903163,2025-11-11T23:19:23Z,MXD2404,"2.528,102.44593",14100,340,315
1762903165,2025-11-11T23:19:25Z,MXD2404,"2.530243,102.443695",14050,340,314
1762903167,2025-11-11T23:19:27Z,MXD2404,"2.532394,102.441414",14025,340,313
1762903169,2025-11-11T23:19:29Z,MXD2404,"2.534958,102.438622",13975,339,312
1762903172,2025-11-11T23:19:32Z,MXD2404,"2.537521,102.435822",13950,339,312
1762903174,2025-11-11T23:19:34Z,MXD2404,"2.53989,102.433304",13900,339,312
1762903176,2025-11-11T23:19:36Z,MXD2404,"2.541779,102.431213",13875,339,312
1762903178,2025-11-11T23:19:38Z,MXD2404,"2.543707,102.429138",13850,339,312
1762903210,2025-11-11T23:20:10Z,MXD2404,"2.578202,102.391769",13300,336,312
1762903241,2025-11-11T23:20:41Z,MXD2404,"2.610836,102.356354",12975,331,312
1762903275,2025-11-11T23:21:15Z,MXD2404,"2.64592,102.318329",12250,327,312
1762903309,2025-11-11T23:21:49Z,MXD2404,"2.680385,102.281059",11575,319,312
1762903324,2025-11-11T23:22:04Z,MXD2404,"2.695468,102.264671",11325,312,312
1762903336,2025-11-11T23:22:16Z,MXD2404,"2.706894,102.25148",11125,306,306
1762903343,2025-11-11T23:22:23Z,MXD2404,"2.712133,102.24379",11050,302,302
1762903345,2025-11-11T23:22:25Z,MXD2404,"2.713669,102.241142",11050,299,300
1762903347,2025-11-11T23:22:27Z,MXD2404,"2.715439,102.238014",11050,298,299
1762903350,2025-11-11T23:22:30Z,MXD2404,"2.716599,102.23584",11050,296,297
1762903352,2025-11-11T23:22:32Z,MXD2404,"2.718232,102.232658",11075,296,296
1762903354,2025-11-11T23:22:34Z,MXD2404,"2.719299,102.230438",11075,294,295
1762903356,2025-11-11T23:22:36Z,MXD2404,"2.720559,102.227737",11075,294,294
1762903358,2025-11-11T23:22:38Z,MXD2404,"2.721677,102.225273",11075,292,293
1762903360,2025-11-11T23:22:40Z,MXD2404,"2.722824,102.222527",11075,292,292
1762903363,2025-11-11T23:22:43Z,MXD2404,"2.723911,102.219734",11075,291,291
1762903365,2025-11-11T23:22:45Z,MXD2404,"2.724842,102.217224",11075,291,290
1762903367,2025-11-11T23:22:47Z,MXD2404,"2.725959,102.214195",11075,290,290
1762903369,2025-11-11T23:22:49Z,MXD2404,"2.72689,102.211685",11075,290,290
1762903371,2025-11-11T23:22:51Z,MXD2404,"2.727722,102.209396",11050,289,290
1762903373,2025-11-11T23:22:53Z,MXD2404,"2.728867,102.206367",11075,290,290
1762903375,2025-11-11T23:22:55Z,MXD2404,"2.730103,102.20311",11050,288,290
1762903388,2025-11-11T23:23:08Z,MXD2404,"2.735687,102.188446",10900,286,291
1762903401,2025-11-11T23:23:21Z,MXD2404,"2.741913,102.17234",10700,281,290
1762903414,2025-11-11T23:23:34Z,MXD2404,"2.747772,102.156975",10450,275,290
1762903429,2025-11-11T23:23:49Z,MXD2404,"2.754775,102.138664",10200,274,290
1762903444,2025-11-11T23:24:04Z,MXD2404,"2.761597,102.120995",9950,273,291
1762903456,2025-11-11T23:24:16Z,MXD2404,"2.767273,102.106377",9750,274,291
1762903469,2025-11-11T23:24:29Z,MXD2404,"2.773178,102.091293",9575,272,291
1762903484,2025-11-11T23:24:44Z,MXD2404,"2.779495,102.07402",9125,274,286
1762903488,2025-11-11T23:24:48Z,MXD2404,"2.780548,102.068298",9000,274,277
1762903490,2025-11-11T23:24:50Z,MXD2404,"2.780685,102.065781",8925,275,271
1762903492,2025-11-11T23:24:52Z,MXD2404,"2.780685,102.064247",8900,275,268
1762903494,2025-11-11T23:24:54Z,MXD2404,"2.780502,102.061684",8825,276,264
1762903496,2025-11-11T23:24:56Z,MXD2404,"2.779867,102.057922",8750,276,257
1762903498,2025-11-11T23:24:58Z,MXD2404,"2.779312,102.055679",8700,276,253
1762903501,2025-11-11T23:25:01Z,MXD2404,"2.778238,102.052567",8625,276,249
1762903503,2025-11-11T23:25:03Z,MXD2404,"2.777167,102.050201",8600,276,245
1762903505,2025-11-11T23:25:05Z,MXD2404,"2.776003,102.047928",8550,276,242
1762903507,2025-11-11T23:25:07Z,MXD2404,"2.775101,102.046371",8525,276,238
