Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1788513182,2026-09-04T09:13:02Z,EZY98RJ,"46.233501,6.109772",0,2,135
1788513200,2026-09-04T09:13:20Z,EZY98RJ,"46.233696,6.109504",0,3,135
1788513227,2026-09-04T09:13:47Z,EZY98RJ,"46.233971,6.109236",0,3,70
1788513393,2026-09-04T09:16:33Z,EZY98RJ,"46.234253,6.109463",0,7,45
1788513399,2026-09-04T09:16:39Z,EZY98RJ,"46.234417,6.109705",0,9,45
1788513408,2026-09-04T09:16:48Z,EZY98RJ,"46.234692,6.110106",0,10,45
1788513416,2026-09-04T09:16:56Z,EZY98RJ,"46.234951,6.110476",0,10,45
1788513426,2026-09-04T09:17:06Z,EZY98RJ,"46.235287,6.110978",0,11,45
1788513439,2026-09-04T09:17:19Z,EZY98RJ,"46.235584,6.11143",0,0,45
1788513443,2026-09-04T09:17:23Z,EZY98RJ,"46.235939,6.11166",0,0,14
1788513451,2026-09-04T09:17:31Z,EZY98RJ,"46.236252,6.111334",0,10,320
1788513458,2026-09-04T09:17:38Z,EZY98RJ,"46.236397,6.111095",0,10,315
1788513461,2026-09-04T09:17:41Z,EZY98RJ,"46.236568,6.11086",0,10,315
1788513466,2026-09-04T09:17:46Z,EZY98RJ,"46.236774,6.110693",0,10,329
1788513472,2026-09-04T09:17:52Z,EZY98RJ,"46.237022,6.110767",0,11,8
1788513476,2026-09-04T09:17:56Z,EZY98RJ,"46.237198,6.111011",0,11,36
1788513481,2026-09-04T09:18:01Z,EZY98RJ,"46.237358,6.111248",0,11,42
1788513486,2026-09-04T09:18:06Z,EZY98RJ,"46.237522,6.111488",0,11,45
1788513490,2026-09-04T09:18:10Z,EZY98RJ,"46.237671,6.111712",0,12,45
1788513494,2026-09-04T09:18:14Z,EZY98RJ,"46.237823,6.111935",0,12,45
1788513498,2026-09-04T09:18:18Z,EZY98RJ,"46.237988,6.112184",0,13,45
1788513504,2026-09-04T09:18:24Z,EZY98RJ,"46.238255,6.11257",0,14,45
1788513511,2026-09-04T09:18:31Z,EZY98RJ,"46.238567,6.113033",0,15,45
1788513518,2026-09-04T09:18:38Z,EZY98RJ,"46.238953,6.1136",0,16,45
1788513525,2026-09-04T09:18:45Z,EZY98RJ,"46.239372,6.114193",0,18,45
1788513533,2026-09-04T09:18:53Z,EZY98RJ,"46.239853,6.114913",0,20,45
1788513540,2026-09-04T09:19:00Z,EZY98RJ,"46.240379,6.115684",0,21,45
1788513548,2026-09-04T09:19:08Z,EZY98RJ,"46.240849,6.11637",0,23,45
1788513557,2026-09-04T09:19:17Z,EZY98RJ,"46.241707,6.117643",0,26,45
1788513566,2026-09-04T09:19:26Z,EZY98RJ,"46.242329,6.118544",0,25,45
1788513574,2026-09-04T09:19:34Z,EZY98RJ,"46.243061,6.119625",0,23,45
1788513581,2026-09-04T09:19:41Z,EZY98RJ,"46.243572,6.12038",0,23,45
