Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1789210249,2026-09-12T10:50:49Z,EZY3293,"55.946583,-3.365979",0,0,90
1789210464,2026-09-12T10:54:24Z,EZY3293,"55.94656,-3.366207",0,3,90
1789210479,2026-09-12T10:54:39Z,EZY3293,"55.94656,-3.36656",0,2,90
1789210490,2026-09-12T10:54:50Z,EZY3293,"55.946571,-3.366769",0,2,87
1789210502,2026-09-12T10:55:02Z,EZY3293,"55.946606,-3.367009",0,2,59
1789210511,2026-09-12T10:55:11Z,EZY3293,"55.946594,-3.367224",0,3,22
1789210535,2026-09-12T10:55:35Z,EZY3293,"55.946373,-3.367331",0,2,357
1789210702,2026-09-12T10:58:22Z,EZY3293,"55.946583,-3.36731",0,5,357
1789210711,2026-09-12T10:58:31Z,EZY3293,"55.946857,-3.36733",0,8,357
1789210720,2026-09-12T10:58:40Z,EZY3293,"55.947224,-3.36733",0,10,357
1789210725,2026-09-12T10:58:45Z,EZY3293,"55.947468,-3.367374",0,10,351
1789210732,2026-09-12T10:58:52Z,EZY3293,"55.947758,-3.367631",0,11,331
1789210737,2026-09-12T10:58:57Z,EZY3293,"55.94799,-3.367747",0,12,345
1789210741,2026-09-12T10:59:01Z,EZY3293,"55.948288,-3.367747",0,12,357
1789210746,2026-09-12T10:59:06Z,EZY3293,"55.948563,-3.367747",0,13,357
1789210751,2026-09-12T10:59:11Z,EZY3293,"55.94883,-3.367846",0,13,343
1789210755,2026-09-12T10:59:15Z,EZY3293,"55.949043,-3.368079",0,12,329
1789210761,2026-09-12T10:59:21Z,EZY3293,"55.949318,-3.368246",0,11,345
1789210767,2026-09-12T10:59:27Z,EZY3293,"55.949574,-3.367975",0,10,36
1789210771,2026-09-12T10:59:31Z,EZY3293,"55.949657,-3.367739",0,10,53
1789210773,2026-09-12T10:59:33Z,EZY3293,"55.94973,-3.367538",0,10,56
1789210777,2026-09-12T10:59:37Z,EZY3293,"55.949806,-3.36731",0,10,59
1789210781,2026-09-12T10:59:41Z,EZY3293,"55.94989,-3.36706",0,9,59
1789210784,2026-09-12T10:59:44Z,EZY3293,"55.949959,-3.366852",0,7,59
