Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1786264669,2026-08-09T08:37:49Z,EZY91HN,"46.234703,6.111714",0,5,137
1786264678,2026-08-09T08:37:58Z,EZY91HN,"46.234856,6.111471",0,6,135
1786264693,2026-08-09T08:38:13Z,EZY91HN,"46.235138,6.111095",0,4,87
1786264709,2026-08-09T08:38:29Z,EZY91HN,"46.235069,6.11071",0,4,45
1786264875,2026-08-09T08:41:15Z,EZY91HN,"46.235207,6.11091",0,5,45
1786264883,2026-08-09T08:41:23Z,EZY91HN,"46.235378,6.111128",0,7,45
1786264890,2026-08-09T08:41:30Z,EZY91HN,"46.235554,6.111385",0,7,45
1786264898,2026-08-09T08:41:38Z,EZY91HN,"46.235695,6.111609",0,6,45
1786264907,2026-08-09T08:41:47Z,EZY91HN,"46.236031,6.111591",0,8,343
1786264913,2026-08-09T08:41:53Z,EZY91HN,"46.236202,6.111346",0,10,315
1786264920,2026-08-09T08:42:00Z,EZY91HN,"46.236427,6.111025",0,10,315
1786264924,2026-08-09T08:42:04Z,EZY91HN,"46.23658,6.110819",0,10,317
1786264931,2026-08-09T08:42:11Z,EZY91HN,"46.236866,6.110676",0,9,351
1786264937,2026-08-09T08:42:17Z,EZY91HN,"46.237091,6.110853",0,10,33
1786264943,2026-08-09T08:42:23Z,EZY91HN,"46.237278,6.111128",0,11,45
1786264947,2026-08-09T08:42:27Z,EZY91HN,"46.237461,6.111396",0,13,45
1786264950,2026-08-09T08:42:30Z,EZY91HN,"46.237591,6.111609",0,13,47
1786264953,2026-08-09T08:42:33Z,EZY91HN,"46.237755,6.111832",0,14,45
1786264957,2026-08-09T08:42:37Z,EZY91HN,"46.237919,6.112089",0,14,45
1786264961,2026-08-09T08:42:41Z,EZY91HN,"46.238102,6.112351",0,15,45
1786264969,2026-08-09T08:42:49Z,EZY91HN,"46.238487,6.112913",0,16,45
1786264975,2026-08-09T08:42:55Z,EZY91HN,"46.238895,6.113514",0,18,45
1786264982,2026-08-09T08:43:02Z,EZY91HN,"46.239361,6.114193",0,20,45
1786264989,2026-08-09T08:43:09Z,EZY91HN,"46.239841,6.114913",0,22,45
1786264996,2026-08-09T08:43:16Z,EZY91HN,"46.240391,6.115717",0,24,45
1786265005,2026-08-09T08:43:25Z,EZY91HN,"46.241158,6.116822",0,26,45
1786265013,2026-08-09T08:43:33Z,EZY91HN,"46.24181,6.117794",0,26,45
