Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1786727158,2026-08-14T17:05:58Z,EZY13ZA,"51.156277,-0.177841",0,0,165
1786727164,2026-08-14T17:06:04Z,EZY13ZA,"51.156281,-0.177841",0,0,165
1786727201,2026-08-14T17:06:41Z,EZY13ZA,"51.156487,-0.177878",0,3,165
1786727218,2026-08-14T17:06:58Z,EZY13ZA,"51.156719,-0.177975",0,3,165
1786727232,2026-08-14T17:07:12Z,EZY13ZA,"51.156921,-0.178008",0,3,157
1786727248,2026-08-14T17:07:28Z,EZY13ZA,"51.157127,-0.17807",0,2,106
1786727266,2026-08-14T17:07:46Z,EZY13ZA,"51.15715,-0.178342",0,2,75
1786727480,2026-08-14T17:11:20Z,EZY13ZA,"51.157185,-0.178138",0,4,78
1786727488,2026-08-14T17:11:28Z,EZY13ZA,"51.157196,-0.17786",0,6,78
1786727496,2026-08-14T17:11:36Z,EZY13ZA,"51.157291,-0.17746",0,7,78
1786727504,2026-08-14T17:11:44Z,EZY13ZA,"51.157372,-0.176983",0,9,78
1786727511,2026-08-14T17:11:51Z,EZY13ZA,"51.157436,-0.176486",0,10,78
1786727518,2026-08-14T17:11:58Z,EZY13ZA,"51.157486,-0.175991",0,9,78
1786727526,2026-08-14T17:12:06Z,EZY13ZA,"51.157536,-0.175552",0,7,81
1786727531,2026-08-14T17:12:11Z,EZY13ZA,"51.157501,-0.175323",0,7,101
1786727535,2026-08-14T17:12:15Z,EZY13ZA,"51.157383,-0.175095",0,8,129
1786727548,2026-08-14T17:12:28Z,EZY13ZA,"51.156895,-0.174885",0,9,168
1786727555,2026-08-14T17:12:35Z,EZY13ZA,"51.156593,-0.174789",0,11,168
1786727559,2026-08-14T17:12:39Z,EZY13ZA,"51.156361,-0.174705",0,11,168
1786727565,2026-08-14T17:12:45Z,EZY13ZA,"51.15604,-0.174594",0,11,168
1786727570,2026-08-14T17:12:50Z,EZY13ZA,"51.155788,-0.174503",0,11,168
1786727577,2026-08-14T17:12:57Z,EZY13ZA,"51.155556,-0.174427",0,11,168
