Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1784968851,2026-07-25T08:40:51Z,AFR43MU,"46.231701,6.108072",0,0,135
1784968926,2026-07-25T08:42:06Z,AFR43MU,"46.231865,6.107862",0,3,118
1784968940,2026-07-25T08:42:20Z,AFR43MU,"46.231983,6.107643",0,3,90
1784968949,2026-07-25T08:42:29Z,AFR43MU,"46.232002,6.107427",0,4,75
1784968958,2026-07-25T08:42:38Z,AFR43MU,"46.231991,6.107226",0,4,64
1784968968,2026-07-25T08:42:48Z,AFR43MU,"46.231945,6.107025",0,3,50
1784968993,2026-07-25T08:43:13Z,AFR43MU,"46.232094,6.107226",0,3,45
1784969008,2026-07-25T08:43:28Z,AFR43MU,"46.232239,6.107437",0,3,45
1784969135,2026-07-25T08:45:35Z,AFR43MU,"46.232426,6.107662",0,0,42
1784969145,2026-07-25T08:45:45Z,AFR43MU,"46.232632,6.107798",0,7,25
1784969155,2026-07-25T08:45:55Z,AFR43MU,"46.233032,6.107946",0,10,16
1784969161,2026-07-25T08:46:01Z,AFR43MU,"46.233345,6.108141",0,12,25
1784969168,2026-07-25T08:46:08Z,AFR43MU,"46.233627,6.108566",0,12,45
1784969172,2026-07-25T08:46:12Z,AFR43MU,"46.233788,6.108784",0,12,45
1784969178,2026-07-25T08:46:18Z,AFR43MU,"46.233994,6.109085",0,12,45
1784969182,2026-07-25T08:46:22Z,AFR43MU,"46.234169,6.109343",0,13,45
1784969192,2026-07-25T08:46:32Z,AFR43MU,"46.23447,6.109806",0,14,45
1784969200,2026-07-25T08:46:40Z,AFR43MU,"46.235001,6.110576",0,0,45
1784969208,2026-07-25T08:46:48Z,AFR43MU,"46.235401,6.111178",0,0,45
1784969222,2026-07-25T08:47:02Z,AFR43MU,"46.236065,6.111614",0,0,354
1784969227,2026-07-25T08:47:07Z,AFR43MU,"46.236263,6.111317",0,11,317
1784969232,2026-07-25T08:47:12Z,AFR43MU,"46.236427,6.111059",0,12,315
1784969236,2026-07-25T08:47:16Z,AFR43MU,"46.236603,6.110819",0,12,315
1784969242,2026-07-25T08:47:22Z,AFR43MU,"46.236843,6.110693",0,11,340
1784969246,2026-07-25T08:47:26Z,AFR43MU,"46.23708,6.110836",0,13,16
1784969250,2026-07-25T08:47:30Z,AFR43MU,"46.237232,6.111076",0,11,39
1784969255,2026-07-25T08:47:35Z,AFR43MU,"46.237392,6.111317",0,12,45
1784969259,2026-07-25T08:47:39Z,AFR43MU,"46.237564,6.111564",0,12,45
1784969264,2026-07-25T08:47:44Z,AFR43MU,"46.237759,6.111848",0,12,45
1784969268,2026-07-25T08:47:48Z,AFR43MU,"46.237907,6.112083",0,12,45
1784969274,2026-07-25T08:47:54Z,AFR43MU,"46.238182,6.112468",0,12,45
1784969281,2026-07-25T08:48:01Z,AFR43MU,"46.238457,6.11287",0,13,45
1784969290,2026-07-25T08:48:10Z,AFR43MU,"46.23885,6.113445",0,14,45
1784969297,2026-07-25T08:48:17Z,AFR43MU,"46.239185,6.113943",0,15,45
1784969305,2026-07-25T08:48:25Z,AFR43MU,"46.239532,6.114461",0,15,45
1784969312,2026-07-25T08:48:32Z,AFR43MU,"46.239952,6.115059",0,16,45
1784969320,2026-07-25T08:48:40Z,AFR43MU,"46.240372,6.115694",0,17,45
