Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1784981086,2026-07-25T12:04:46Z,AFR258,"49.000797,2.580115",0,0,81
1784981276,2026-07-25T12:07:56Z,AFR258,"49.000786,2.580572",0,3,87
1784981284,2026-07-25T12:08:04Z,AFR258,"49.000805,2.580793",0,4,87
1784981303,2026-07-25T12:08:23Z,AFR258,"49.000851,2.581625",0,0,84
1784981327,2026-07-25T12:08:47Z,AFR258,"49.000885,2.582329",0,0,84
1784981356,2026-07-25T12:09:16Z,AFR258,"49.0009,2.582562",0,0,84
1784981396,2026-07-25T12:09:56Z,AFR258,"49.000317,2.583323",0,0,154
1784981421,2026-07-25T12:10:21Z,AFR258,"49.000179,2.58427",0,1,92
1784981424,2026-07-25T12:10:24Z,AFR258,"49.000187,2.584281",0,0,92
1784981481,2026-07-25T12:11:21Z,AFR258,"49.000187,2.584552",0,6,90
1784981494,2026-07-25T12:11:34Z,AFR258,"49.000221,2.585257",0,10,87
1784981497,2026-07-25T12:11:37Z,AFR258,"49.000244,2.58551",0,11,84
1784981500,2026-07-25T12:11:40Z,AFR258,"49.000248,2.585766",0,12,84
1784981503,2026-07-25T12:11:43Z,AFR258,"49.000259,2.586013",0,12,84
1784981506,2026-07-25T12:11:46Z,AFR258,"49.000282,2.586329",0,13,84
1784981514,2026-07-25T12:11:54Z,AFR258,"49.000328,2.587157",0,15,84
1784981529,2026-07-25T12:12:09Z,AFR258,"49.000431,2.588979",0,0,84
1784981539,2026-07-25T12:12:19Z,AFR258,"49.0005,2.590442",0,0,84
1784981553,2026-07-25T12:12:33Z,AFR258,"49.000603,2.592316",0,19,84
1784981563,2026-07-25T12:12:43Z,AFR258,"49.000683,2.593707",0,18,84
1784981591,2026-07-25T12:13:11Z,AFR258,"49.000832,2.596717",0,0,84
1784981598,2026-07-25T12:13:18Z,AFR258,"49.000854,2.597034",0,4,84
1784981662,2026-07-25T12:14:22Z,AFR258,"49.000912,2.598179",0,0,84
1784981673,2026-07-25T12:14:33Z,AFR258,"49.000942,2.598664",0,0,84
1784981691,2026-07-25T12:14:51Z,AFR258,"49.001003,2.599922",0,12,84
1784981699,2026-07-25T12:14:59Z,AFR258,"49.00106,2.600778",0,15,84
1784981709,2026-07-25T12:15:09Z,AFR258,"49.001129,2.602017",0,18,84
1784981717,2026-07-25T12:15:17Z,AFR258,"49.001152,2.602562",0,17,84
1784981738,2026-07-25T12:15:38Z,AFR258,"49.001186,2.603471",0,0,87
1784981740,2026-07-25T12:15:40Z,AFR258,"49.000629,2.604031",0,0,163
1784981745,2026-07-25T12:15:45Z,AFR258,"49.000362,2.604049",0,11,174
1784981750,2026-07-25T12:15:50Z,AFR258,"49.000141,2.604067",0,10,174
1784981756,2026-07-25T12:15:56Z,AFR258,"48.999882,2.604059",0,8,180
1784981765,2026-07-25T12:16:05Z,AFR258,"48.999592,2.604013",0,7,182
1784981772,2026-07-25T12:16:12Z,AFR258,"48.999313,2.60394",0,9,188
1784981778,2026-07-25T12:16:18Z,AFR258,"48.999069,2.60383",0,11,194
1784981784,2026-07-25T12:16:24Z,AFR258,"48.998779,2.603597",0,12,205
1784981796,2026-07-25T12:16:36Z,AFR258,"48.998417,2.603236",0,5,213
1784981909,2026-07-25T12:18:29Z,AFR258,"48.998108,2.597826",0,0,267
1784981933,2026-07-25T12:18:53Z,AFR258,"48.997055,2.578266",425,94,265
1784981946,2026-07-25T12:19:06Z,AFR258,"48.996094,2.561857",625,180,264
1784981954,2026-07-25T12:19:14Z,AFR258,"48.995499,2.551716",950,180,264
1784981961,2026-07-25T12:19:21Z,AFR258,"48.995041,2.543898",1225,180,264
1784981965,2026-07-25T12:19:25Z,AFR258,"48.994694,2.538203",1350,180,265
1784981979,2026-07-25T12:19:39Z,AFR258,"48.993855,2.519845",1950,179,265
1784981987,2026-07-25T12:19:47Z,AFR258,"48.993389,2.509147",2225,178,266
1784981994,2026-07-25T12:19:54Z,AFR258,"48.993111,2.501703",2475,178,266
1784982002,2026-07-25T12:20:02Z,AFR258,"48.992786,2.49115",2750,177,267
1784982010,2026-07-25T12:20:10Z,AFR258,"48.992458,2.480597",2950,180,266
1784982019,2026-07-25T12:20:19Z,AFR258,"48.99202,2.470163",3100,181,265
1784982025,2026-07-25T12:20:25Z,AFR258,"48.991653,2.462276",3275,180,266
1784982033,2026-07-25T12:20:33Z,AFR258,"48.991104,2.451782",3525,180,265
1784982042,2026-07-25T12:20:42Z,AFR258,"48.990509,2.440937",3725,185,265
1784982048,2026-07-25T12:20:48Z,AFR258,"48.990097,2.43312",3800,190,265
1784982056,2026-07-25T12:20:56Z,AFR258,"48.989502,2.421429",3875,198,265
1784982065,2026-07-25T12:21:05Z,AFR258,"48.988861,2.409457",4000,207,264
1784982073,2026-07-25T12:21:13Z,AFR258,"48.988083,2.396971",4125,217,264
1784982081,2026-07-25T12:21:21Z,AFR258,"48.987247,2.383961",4225,227,264
1784982089,2026-07-25T12:21:29Z,AFR258,"48.986343,2.3703",4275,239,264
1784982098,2026-07-25T12:21:38Z,AFR258,"48.985428,2.356779",4375,253,264
1784982104,2026-07-25T12:21:44Z,AFR258,"48.984734,2.345509",4450,260,264
1784982112,2026-07-25T12:21:52Z,AFR258,"48.983734,2.329876",4675,264,264
1784982121,2026-07-25T12:22:01Z,AFR258,"48.982635,2.314031",4950,267,264
1784982130,2026-07-25T12:22:10Z,AFR258,"48.981567,2.297516",5300,267,264
1784982142,2026-07-25T12:22:22Z,AFR258,"48.980171,2.273736",5900,265,264
1784982155,2026-07-25T12:22:35Z,AFR258,"48.978699,2.251211",6275,269,261
1784982159,2026-07-25T12:22:39Z,AFR258,"48.977463,2.242267",6450,269,255
1784982161,2026-07-25T12:22:41Z,AFR258,"48.976677,2.238392",6550,269,251
1784982163,2026-07-25T12:22:43Z,AFR258,"48.975746,2.234923",6650,268,247
1784982166,2026-07-25T12:22:46Z,AFR258,"48.974487,2.230929",6750,268,243
1784982168,2026-07-25T12:22:48Z,AFR258,"48.973328,2.227912",6850,268,239
1784982170,2026-07-25T12:22:50Z,AFR258,"48.972107,2.224943",6925,269,236
1784982172,2026-07-25T12:22:52Z,AFR258,"48.970348,2.22119",7025,269,233
1784982174,2026-07-25T12:22:54Z,AFR258,"48.968952,2.218443",7075,269,232
1784982176,2026-07-25T12:22:56Z,AFR258,"48.967072,2.214802",7175,269,231
1784982178,2026-07-25T12:22:58Z,AFR258,"48.965515,2.211844",7250,269,231
1784982180,2026-07-25T12:23:00Z,AFR258,"48.964005,2.208886",7325,269,232
1784982182,2026-07-25T12:23:02Z,AFR258,"48.962479,2.205722",7400,269,233
1784982184,2026-07-25T12:23:04Z,AFR258,"48.961128,2.202614",7475,268,237
1784982186,2026-07-25T12:23:06Z,AFR258,"48.959885,2.199449",7550,267,240
1784982188,2026-07-25T12:23:08Z,AFR258,"48.958569,2.195531",7650,267,244
1784982191,2026-07-25T12:23:11Z,AFR258,"48.957596,2.192125",7750,266,246
1784982193,2026-07-25T12:23:13Z,AFR258,"48.956772,2.188815",7825,265,249
1784982195,2026-07-25T12:23:15Z,AFR258,"48.955822,2.184545",7950,264,252
1784982197,2026-07-25T12:23:17Z,AFR258,"48.95517,2.180997",8025,264,254
1784982199,2026-07-25T12:23:19Z,AFR258,"48.954567,2.177534",8100,264,256
1784982201,2026-07-25T12:23:21Z,AFR258,"48.954056,2.174064",8175,264,257
1784982203,2026-07-25T12:23:23Z,AFR258,"48.95343,2.169448",8275,264,258
1784982205,2026-07-25T12:23:25Z,AFR258,"48.953018,2.166067",8350,265,259
1784982207,2026-07-25T12:23:27Z,AFR258,"48.95261,2.162789",8400,265,259
1784982209,2026-07-25T12:23:29Z,AFR258,"48.952099,2.158163",8450,266,260
1784982211,2026-07-25T12:23:31Z,AFR258,"48.951691,2.154518",8500,267,260
1784982213,2026-07-25T12:23:33Z,AFR258,"48.951279,2.150996",8550,269,260
1784982215,2026-07-25T12:23:35Z,AFR258,"48.950867,2.147264",8600,270,260
1784982217,2026-07-25T12:23:37Z,AFR258,"48.950424,2.143057",8650,271,260
1784982220,2026-07-25T12:23:40Z,AFR258,"48.95005,2.139443",8700,271,260
1784982222,2026-07-25T12:23:42Z,AFR258,"48.949539,2.134745",8775,272,260
1784982236,2026-07-25T12:23:56Z,AFR258,"48.946609,2.106769",9275,274,260
1784982249,2026-07-25T12:24:09Z,AFR258,"48.943588,2.083247",9650,276,254
1784982253,2026-07-25T12:24:13Z,AFR258,"48.941811,2.075621",9775,277,248
1784982255,2026-07-25T12:24:15Z,AFR258,"48.94088,2.072658",9825,277,245
1784982257,2026-07-25T12:24:17Z,AFR258,"48.939606,2.068951",9850,277,241
1784982259,2026-07-25T12:24:19Z,AFR258,"48.938366,2.065863",9900,277,237
1784982261,2026-07-25T12:24:21Z,AFR258,"48.936722,2.062261",9925,278,234
1784982263,2026-07-25T12:24:23Z,AFR258,"48.93483,2.058708",9950,278,230
1784982265,2026-07-25T12:24:25Z,AFR258,"48.93306,2.055817",9950,278,227
1784982267,2026-07-25T12:24:27Z,AFR258,"48.931274,2.053176",9975,278,222
1784982270,2026-07-25T12:24:30Z,AFR258,"48.928894,2.050148",9975,279,219
1784982272,2026-07-25T12:24:32Z,AFR258,"48.927193,2.048227",9975,280,215
1784982274,2026-07-25T12:24:34Z,AFR258,"48.9245,2.04564",10000,280,212
1784982276,2026-07-25T12:24:36Z,AFR258,"48.922119,2.043668",10000,281,207
1784982278,2026-07-25T12:24:38Z,AFR258,"48.920162,2.042228",10000,282,204
1784982280,2026-07-25T12:24:40Z,AFR258,"48.917679,2.04071",10000,283,200
1784982282,2026-07-25T12:24:42Z,AFR258,"48.914486,2.03912",10000,284,196
1784982284,2026-07-25T12:24:44Z,AFR258,"48.912369,2.038316",10000,284,193
1784982286,2026-07-25T12:24:46Z,AFR258,"48.909225,2.037313",10000,285,190
1784982288,2026-07-25T12:24:48Z,AFR258,"48.906712,2.036807",10000,286,187
1784982290,2026-07-25T12:24:50Z,AFR258,"48.904057,2.036374",10000,288,185
1784982292,2026-07-25T12:24:52Z,AFR258,"48.901402,2.036085",10000,288,183
1784982295,2026-07-25T12:24:55Z,AFR258,"48.898544,2.035922",10000,289,181
1784982297,2026-07-25T12:24:57Z,AFR258,"48.895817,2.035868",10000,290,180
1784982299,2026-07-25T12:24:59Z,AFR258,"48.892502,2.035922",10000,290,179
1784982301,2026-07-25T12:25:01Z,AFR258,"48.889904,2.03594",10000,290,179
1784982303,2026-07-25T12:25:03Z,AFR258,"48.887344,2.036085",10000,290,178
1784982305,2026-07-25T12:25:05Z,AFR258,"48.884319,2.036157",10000,291,178
