Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1785346012,2026-07-29T17:26:52Z,CES217,"31.134716,121.803024",0,0,73
1785346018,2026-07-29T17:26:58Z,CES217,"31.134716,121.803024",0,0,73
1785346138,2026-07-29T17:28:58Z,CES217,"31.134649,121.802795",0,2,73
1785346158,2026-07-29T17:29:18Z,CES217,"31.13459,121.802589",0,2,73
1785346178,2026-07-29T17:29:38Z,CES217,"31.134556,121.802361",0,3,70
1785346198,2026-07-29T17:29:58Z,CES217,"31.134567,121.802109",0,2,33
1785346218,2026-07-29T17:30:18Z,CES217,"31.134428,121.801903",0,2,8
1785346238,2026-07-29T17:30:38Z,CES217,"31.134207,121.801765",0,2,340
1785346452,2026-07-29T17:34:12Z,CES217,"31.134485,121.801643",0,2,340
1785346467,2026-07-29T17:34:27Z,CES217,"31.134739,121.801559",0,4,340
1785346477,2026-07-29T17:34:37Z,CES217,"31.134979,121.80146",0,6,343
1785346488,2026-07-29T17:34:48Z,CES217,"31.135254,121.801353",0,6,343
1785346498,2026-07-29T17:34:58Z,CES217,"31.135529,121.801262",0,6,343
1785346507,2026-07-29T17:35:07Z,CES217,"31.135883,121.801109",0,8,343
1785346517,2026-07-29T17:35:17Z,CES217,"31.136267,121.800972",0,9,343
1785346527,2026-07-29T17:35:27Z,CES217,"31.136696,121.800812",0,10,340
1785346537,2026-07-29T17:35:37Z,CES217,"31.137152,121.800644",0,10,340
1785346542,2026-07-29T17:35:42Z,CES217,"31.137396,121.800545",0,11,343
1785346557,2026-07-29T17:35:57Z,CES217,"31.138176,121.800255",0,12,343
1785346562,2026-07-29T17:36:02Z,CES217,"31.138493,121.800125",0,12,343
1785346567,2026-07-29T17:36:07Z,CES217,"31.138746,121.800034",0,12,340
1785346572,2026-07-29T17:36:12Z,CES217,"31.139065,121.799911",0,14,343
1785346580,2026-07-29T17:36:20Z,CES217,"31.139479,121.799759",0,14,340
1785346585,2026-07-29T17:36:25Z,CES217,"31.139851,121.799622",0,14,343
1785346590,2026-07-29T17:36:30Z,CES217,"31.140154,121.7995",0,12,343
1785346595,2026-07-29T17:36:35Z,CES217,"31.140404,121.799416",0,10,343
1785346600,2026-07-29T17:36:40Z,CES217,"31.140642,121.799324",0,10,343
1785346610,2026-07-29T17:36:50Z,CES217,"31.140907,121.799049",0,6,317
1785346620,2026-07-29T17:37:00Z,CES217,"31.140875,121.798744",0,6,281
1785346630,2026-07-29T17:37:10Z,CES217,"31.140759,121.7985",0,4,258
1785346656,2026-07-29T17:37:36Z,CES217,"31.14069,121.798241",0,2,255
1785346665,2026-07-29T17:37:45Z,CES217,"31.140621,121.797989",0,6,253
1785346675,2026-07-29T17:37:55Z,CES217,"31.140507,121.797585",0,8,253
1785346680,2026-07-29T17:38:00Z,CES217,"31.140472,121.797325",0,10,258
1785346685,2026-07-29T17:38:05Z,CES217,"31.140438,121.797089",0,10,258
1785346690,2026-07-29T17:38:10Z,CES217,"31.140398,121.796822",0,8,261
1785346695,2026-07-29T17:38:15Z,CES217,"31.140358,121.796547",0,10,261
1785346705,2026-07-29T17:38:25Z,CES217,"31.140392,121.796089",0,8,275
1785346715,2026-07-29T17:38:35Z,CES217,"31.140804,121.79586",0,8,329
1785346725,2026-07-29T17:38:45Z,CES217,"31.141216,121.795738",0,10,343
1785346730,2026-07-29T17:38:50Z,CES217,"31.141422,121.795654",0,10,343
1785346735,2026-07-29T17:38:55Z,CES217,"31.141651,121.795563",0,10,343
1785346740,2026-07-29T17:39:00Z,CES217,"31.141888,121.795464",0,10,343
1785346745,2026-07-29T17:39:05Z,CES217,"31.142132,121.795364",0,10,343
1785346750,2026-07-29T17:39:10Z,CES217,"31.142361,121.79528",0,12,343
1785346755,2026-07-29T17:39:15Z,CES217,"31.142635,121.795189",0,12,343
1785346760,2026-07-29T17:39:20Z,CES217,"31.142921,121.795082",0,12,343
1785346770,2026-07-29T17:39:30Z,CES217,"31.143471,121.794876",0,12,343
1785346780,2026-07-29T17:39:40Z,CES217,"31.144075,121.794655",0,14,343
1785346790,2026-07-29T17:39:50Z,CES217,"31.144728,121.794403",0,16,343
1785346800,2026-07-29T17:40:00Z,CES217,"31.145393,121.794167",0,16,343
1785346815,2026-07-29T17:40:15Z,CES217,"31.146492,121.793747",0,16,343
1785346825,2026-07-29T17:40:25Z,CES217,"31.147293,121.793449",0,17,343
1785346835,2026-07-29T17:40:35Z,CES217,"31.148056,121.793167",0,18,343
1785346845,2026-07-29T17:40:45Z,CES217,"31.148905,121.792839",0,19,343
1785346855,2026-07-29T17:40:55Z,CES217,"31.149801,121.792511",0,19,343
1785346865,2026-07-29T17:41:05Z,CES217,"31.150726,121.79216",0,21,343
1785346880,2026-07-29T17:41:20Z,CES217,"31.152164,121.791618",0,21,340
1785346890,2026-07-29T17:41:30Z,CES217,"31.153152,121.791245",0,23,340
1785346905,2026-07-29T17:41:45Z,CES217,"31.154713,121.790657",0,24,343
1785346915,2026-07-29T17:41:55Z,CES217,"31.155794,121.790245",0,23,343
1785346925,2026-07-29T17:42:05Z,CES217,"31.156843,121.789848",0,26,343
1785346935,2026-07-29T17:42:15Z,CES217,"31.157948,121.789436",0,24,343
1785346945,2026-07-29T17:42:25Z,CES217,"31.158943,121.789062",0,19,343
1785346955,2026-07-29T17:42:35Z,CES217,"31.159779,121.78875",0,17,343
1785346970,2026-07-29T17:42:50Z,CES217,"31.16098,121.788292",0,16,340
1785346980,2026-07-29T17:43:00Z,CES217,"31.161428,121.788101",0,7,340
1785346990,2026-07-29T17:43:10Z,CES217,"31.161602,121.787895",0,4,323
1785347000,2026-07-29T17:43:20Z,CES217,"31.161602,121.787598",0,6,286
1785347010,2026-07-29T17:43:30Z,CES217,"31.161474,121.787308",0,5,258
1785347212,2026-07-29T17:46:52Z,CES217,"31.161392,121.787079",0,3,253
