Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1785327670,2026-07-29T12:21:10Z,CES6014,"21.220442,105.787888",0,0,196
1785327897,2026-07-29T12:24:57Z,CES6014,"21.221443,105.788536",0,0,284
1785327983,2026-07-29T12:26:23Z,CES6014,"21.221443,105.788536",0,0,284
1785328413,2026-07-29T12:33:33Z,CES6014,"21.224625,105.786606",0,8,70
1785328418,2026-07-29T12:33:38Z,CES6014,"21.224579,105.786865",0,7,98
1785328524,2026-07-29T12:35:24Z,CES6014,"21.224487,105.787155",0,0,106
1785328532,2026-07-29T12:35:32Z,CES6014,"21.224236,105.788017",0,37,106
1785328613,2026-07-29T12:36:53Z,CES6014,"21.208008,105.843636",2075,167,108
1785328621,2026-07-29T12:37:01Z,CES6014,"21.205988,105.850273",2350,169,107
1785328629,2026-07-29T12:37:09Z,CES6014,"21.203939,105.857033",2650,170,108
1785328637,2026-07-29T12:37:17Z,CES6014,"21.202148,105.862808",2975,168,108
1785328644,2026-07-29T12:37:24Z,CES6014,"21.200447,105.868477",3275,167,107
1785328651,2026-07-29T12:37:31Z,CES6014,"21.198866,105.874123",3550,170,102
1785328653,2026-07-29T12:37:33Z,CES6014,"21.198532,105.876091",3625,170,98
1785328655,2026-07-29T12:37:35Z,CES6014,"21.198399,105.87809",3700,173,93
1785328658,2026-07-29T12:37:38Z,CES6014,"21.198446,105.879921",3750,175,85
1785328660,2026-07-29T12:37:40Z,CES6014,"21.198679,105.881859",3825,177,80
1785328662,2026-07-29T12:37:42Z,CES6014,"21.199144,105.883888",3900,180,74
1785328664,2026-07-29T12:37:44Z,CES6014,"21.199749,105.885719",3950,183,69
1785328666,2026-07-29T12:37:46Z,CES6014,"21.200363,105.887177",3975,186,64
1785328668,2026-07-29T12:37:48Z,CES6014,"21.201239,105.888878",4025,190,59
1785328671,2026-07-29T12:37:51Z,CES6014,"21.202543,105.890907",4075,193,54
1785328673,2026-07-29T12:37:53Z,CES6014,"21.203796,105.892426",4125,196,49
1785328675,2026-07-29T12:37:55Z,CES6014,"21.20517,105.893867",4175,201,42
1785328677,2026-07-29T12:37:57Z,CES6014,"21.206593,105.895134",4225,203,39
1785328679,2026-07-29T12:37:59Z,CES6014,"21.208269,105.896301",4275,207,32
1785328681,2026-07-29T12:38:01Z,CES6014,"21.210526,105.897667",4325,210,28
1785328684,2026-07-29T12:38:04Z,CES6014,"21.212599,105.89859",4375,213,23
1785328686,2026-07-29T12:38:06Z,CES6014,"21.214417,105.899261",4425,218,17
1785328688,2026-07-29T12:38:08Z,CES6014,"21.216368,105.899811",4475,221,12
1785328690,2026-07-29T12:38:10Z,CES6014,"21.219023,105.900322",4525,224,8
1785328692,2026-07-29T12:38:12Z,CES6014,"21.221191,105.900566",4575,227,5
1785328695,2026-07-29T12:38:15Z,CES6014,"21.223259,105.900673",4625,230,2
1785328697,2026-07-29T12:38:17Z,CES6014,"21.226051,105.900726",4700,233,359
1785328699,2026-07-29T12:38:19Z,CES6014,"21.228378,105.900665",4775,235,358
1785328701,2026-07-29T12:38:21Z,CES6014,"21.230753,105.900574",4850,237,358
