Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1785045124,2026-07-26T05:52:04Z,HVN7394,"10.812688,106.654236",0,0,160
1785045183,2026-07-26T05:53:03Z,HVN7394,"10.81279,106.654152",0,1,160
1785045211,2026-07-26T05:53:31Z,HVN7394,"10.813007,106.654076",0,2,157
1785045235,2026-07-26T05:53:55Z,HVN7394,"10.813248,106.654007",0,2,137
1785045265,2026-07-26T05:54:25Z,HVN7394,"10.813515,106.653801",0,0,75
1785045485,2026-07-26T05:58:05Z,HVN7394,"10.813683,106.654175",0,7,67
1785045493,2026-07-26T05:58:13Z,HVN7394,"10.813783,106.654442",0,8,70
1785045523,2026-07-26T05:58:43Z,HVN7394,"10.814232,106.655663",0,0,70
1785045550,2026-07-26T05:59:10Z,HVN7394,"10.814783,106.657089",0,0,70
1785045566,2026-07-26T05:59:26Z,HVN7394,"10.815376,106.657951",0,0,25
1785045569,2026-07-26T05:59:29Z,HVN7394,"10.814655,106.656754",0,0,70
1785045571,2026-07-26T05:59:31Z,HVN7394,"10.815609,106.657951",0,0,5
1785045584,2026-07-26T05:59:44Z,HVN7394,"10.816578,106.65802",0,13,5
1785045595,2026-07-26T05:59:55Z,HVN7394,"10.817219,106.657913",0,14,351
1785045603,2026-07-26T06:00:03Z,HVN7394,"10.817688,106.658241",0,15,50
1785045613,2026-07-26T06:00:13Z,HVN7394,"10.817844,106.658669",0,15,67
1785045617,2026-07-26T06:00:17Z,HVN7394,"10.81803,106.65918",0,15,70
1785045630,2026-07-26T06:00:30Z,HVN7394,"10.818352,106.660034",0,0,67
1785045645,2026-07-26T06:00:45Z,HVN7394,"10.818728,106.661011",0,0,70
1785045654,2026-07-26T06:00:54Z,HVN7394,"10.818961,106.661644",0,15,67
1785045661,2026-07-26T06:01:01Z,HVN7394,"10.819164,106.662178",0,15,67
1785045665,2026-07-26T06:01:05Z,HVN7394,"10.819267,106.662422",0,16,70
1785045675,2026-07-26T06:01:15Z,HVN7394,"10.81953,106.663132",0,16,67
1785045678,2026-07-26T06:01:18Z,HVN7394,"10.819622,106.663361",0,16,70
1785045682,2026-07-26T06:01:22Z,HVN7394,"10.819741,106.663704",0,17,70
1785045686,2026-07-26T06:01:26Z,HVN7394,"10.819851,106.663979",0,17,67
1785045689,2026-07-26T06:01:29Z,HVN7394,"10.819942,106.664215",0,17,70
1785045691,2026-07-26T06:01:31Z,HVN7394,"10.820021,106.664444",0,18,70
1785045694,2026-07-26T06:01:34Z,HVN7394,"10.820103,106.66465",0,18,70
1785045698,2026-07-26T06:01:38Z,HVN7394,"10.820229,106.664993",0,18,67
1785045701,2026-07-26T06:01:41Z,HVN7394,"10.82032,106.665245",0,19,67
1785045706,2026-07-26T06:01:46Z,HVN7394,"10.820486,106.665672",0,20,67
