Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1785310267,2026-07-29T07:31:07Z,HVN7626,"13.952625,109.048065",0,2,59
1785310942,2026-07-29T07:42:22Z,HVN7626,"14.054167,109.009674",4725,241,13
1785310949,2026-07-29T07:42:29Z,HVN7626,"14.063324,109.011559",5100,243,10
1785310960,2026-07-29T07:42:40Z,HVN7626,"14.074743,109.012856",5525,250,2
1785310962,2026-07-29T07:42:42Z,HVN7626,"14.077629,109.013",5625,251,2
1785310964,2026-07-29T07:42:44Z,HVN7626,"14.080444,109.013023",5700,253,1
1785310967,2026-07-29T07:42:47Z,HVN7626,"14.083169,109.013",5800,255,359
1785310969,2026-07-29T07:42:49Z,HVN7626,"14.0858,109.012932",5875,256,358
1785310971,2026-07-29T07:42:51Z,HVN7626,"14.088942,109.012756",5975,257,357
1785310973,2026-07-29T07:42:53Z,HVN7626,"14.091202,109.012596",6050,258,355
1785310975,2026-07-29T07:42:55Z,HVN7626,"14.094063,109.012367",6175,260,354
1785310978,2026-07-29T07:42:58Z,HVN7626,"14.096622,109.012085",6275,260,353
1785310980,2026-07-29T07:43:00Z,HVN7626,"14.10022,109.011604",6400,260,352
1785310983,2026-07-29T07:43:03Z,HVN7626,"14.102489,109.011261",6525,260,352
1785310985,2026-07-29T07:43:05Z,HVN7626,"14.106213,109.010635",6675,261,350
1785310988,2026-07-29T07:43:08Z,HVN7626,"14.107635,109.010376",6725,261,350
1785310990,2026-07-29T07:43:10Z,HVN7626,"14.110519,109.00985",6850,261,349
1785310992,2026-07-29T07:43:12Z,HVN7626,"14.113495,109.009239",6975,262,348
1785310994,2026-07-29T07:43:14Z,HVN7626,"14.116241,109.008667",7100,262,348
1785310997,2026-07-29T07:43:17Z,HVN7626,"14.119015,109.00808",7225,262,347
1785310999,2026-07-29T07:43:19Z,HVN7626,"14.122559,109.007294",7375,262,347
1785311013,2026-07-29T07:43:33Z,HVN7626,"14.137482,109.003601",8050,261,346
1785311026,2026-07-29T07:43:46Z,HVN7626,"14.154161,108.999313",8800,263,345
1785311040,2026-07-29T07:44:00Z,HVN7626,"14.17092,108.994972",9225,277,346
1785311053,2026-07-29T07:44:13Z,HVN7626,"14.187912,108.990685",9425,298,346
1785311067,2026-07-29T07:44:27Z,HVN7626,"14.206998,108.985962",9925,306,346
1785311082,2026-07-29T07:44:42Z,HVN7626,"14.227993,108.981003",10525,314,346
1785311095,2026-07-29T07:44:55Z,HVN7626,"14.247528,108.976418",10775,332,347
1785311108,2026-07-29T07:45:08Z,HVN7626,"14.267075,108.971825",10950,347,347
1785311122,2026-07-29T07:45:22Z,HVN7626,"14.289047,108.966667",11350,358,347
1785311134,2026-07-29T07:45:34Z,HVN7626,"14.309739,108.961967",11875,360,348
1785311148,2026-07-29T07:45:48Z,HVN7626,"14.332214,108.957809",12400,366,349
1785311179,2026-07-29T07:46:19Z,HVN7626,"14.384501,108.94838",13775,371,350
1785311209,2026-07-29T07:46:49Z,HVN7626,"14.437134,108.939201",14925,380,350
1785311241,2026-07-29T07:47:21Z,HVN7626,"14.493713,108.928574",16150,388,349
1785311272,2026-07-29T07:47:52Z,HVN7626,"14.548784,108.918312",17400,390,349
1785311305,2026-07-29T07:48:25Z,HVN7626,"14.607147,108.907707",18600,393,349
1785311336,2026-07-29T07:48:56Z,HVN7626,"14.664322,108.896248",19475,404,348
1785311367,2026-07-29T07:49:27Z,HVN7626,"14.722366,108.885071",20700,400,349
1785311398,2026-07-29T07:49:58Z,HVN7626,"14.77739,108.874748",21900,397,349
1785311431,2026-07-29T07:50:31Z,HVN7626,"14.838293,108.860779",22325,418,342
1785311441,2026-07-29T07:50:41Z,HVN7626,"14.858185,108.853554",22550,421,339
1785311443,2026-07-29T07:50:43Z,HVN7626,"14.86203,108.852104",22600,422,339
1785311475,2026-07-29T07:51:15Z,HVN7626,"14.920486,108.829506",22950,440,339
1785311506,2026-07-29T07:51:46Z,HVN7626,"14.980603,108.80619",23225,456,339
1785311536,2026-07-29T07:52:16Z,HVN7626,"15.040741,108.782524",24050,457,339
1785311568,2026-07-29T07:52:48Z,HVN7626,"15.105503,108.756508",24800,462,338
1785311599,2026-07-29T07:53:19Z,HVN7626,"15.166397,108.731644",25300,469,338
1785311631,2026-07-29T07:53:51Z,HVN7626,"15.231491,108.703064",26025,473,333
1785311662,2026-07-29T07:54:22Z,HVN7626,"15.290408,108.667145",26400,485,328
1785311694,2026-07-29T07:54:54Z,HVN7626,"15.351857,108.627663",26825,495,328
1785311725,2026-07-29T07:55:25Z,HVN7626,"15.414284,108.587639",27000,510,328
1785311757,2026-07-29T07:55:57Z,HVN7626,"15.47941,108.545952",27000,513,328
1785311788,2026-07-29T07:56:28Z,HVN7626,"15.540999,108.506371",27000,511,327
1785311820,2026-07-29T07:57:00Z,HVN7626,"15.605804,108.464455",27000,508,327
1785311853,2026-07-29T07:57:33Z,HVN7626,"15.671066,108.422256",27000,508,327
1785311886,2026-07-29T07:58:06Z,HVN7626,"15.736938,108.379829",27000,508,327
1785311916,2026-07-29T07:58:36Z,HVN7626,"15.797653,108.341003",27075,503,328
1785311949,2026-07-29T07:59:09Z,HVN7626,"15.861832,108.300041",27800,497,328
1785311980,2026-07-29T07:59:40Z,HVN7626,"15.922668,108.261543",28400,499,328
1785312010,2026-07-29T08:00:10Z,HVN7626,"15.983002,108.223763",28975,501,328
1785312042,2026-07-29T08:00:42Z,HVN7626,"16.046511,108.183792",29000,507,328
1785312072,2026-07-29T08:01:12Z,HVN7626,"16.107239,108.144981",29000,509,327
1785312105,2026-07-29T08:01:45Z,HVN7626,"16.172836,108.10022",29000,507,326
1785312137,2026-07-29T08:02:17Z,HVN7626,"16.235184,108.057281",29000,508,326
1785312168,2026-07-29T08:02:48Z,HVN7626,"16.297714,108.014641",29000,510,326
1785312200,2026-07-29T08:03:20Z,HVN7626,"16.359787,107.972618",29000,504,326
1785312233,2026-07-29T08:03:53Z,HVN7626,"16.422884,107.929832",28975,502,326
1785312265,2026-07-29T08:04:25Z,HVN7626,"16.486288,107.886772",28950,502,326
1785312297,2026-07-29T08:04:57Z,HVN7626,"16.547878,107.844986",28950,502,326
1785312329,2026-07-29T08:05:29Z,HVN7626,"16.61105,107.802071",29025,500,326
1785312361,2026-07-29T08:06:01Z,HVN7626,"16.672943,107.75988",29025,497,326
1785312392,2026-07-29T08:06:32Z,HVN7626,"16.733667,107.718498",29025,496,326
1785312424,2026-07-29T08:07:04Z,HVN7626,"16.795166,107.676567",29000,495,326
1785312455,2026-07-29T08:07:35Z,HVN7626,"16.853354,107.636879",29000,494,326
1785312487,2026-07-29T08:08:07Z,HVN7626,"16.916565,107.59388",29000,494,326
1785312520,2026-07-29T08:08:40Z,HVN7626,"16.978958,107.551384",29000,494,326
1785312552,2026-07-29T08:09:12Z,HVN7626,"17.040028,107.50946",29000,494,326
1785312584,2026-07-29T08:09:44Z,HVN7626,"17.100906,107.467682",29025,493,326
1785312616,2026-07-29T08:10:16Z,HVN7626,"17.163298,107.425049",29025,493,326
1785312649,2026-07-29T08:10:49Z,HVN7626,"17.225166,107.382729",29000,492,326
1785312679,2026-07-29T08:11:19Z,HVN7626,"17.283216,107.342903",29000,492,326
1785312711,2026-07-29T08:11:51Z,HVN7626,"17.344433,107.300865",29000,492,326
1785312743,2026-07-29T08:12:23Z,HVN7626,"17.404903,107.259377",29000,492,326
1785312776,2026-07-29T08:12:56Z,HVN7626,"17.467703,107.216263",29000,492,326
1785312806,2026-07-29T08:13:26Z,HVN7626,"17.52594,107.176308",29025,492,326
1785312837,2026-07-29T08:13:57Z,HVN7626,"17.584084,107.136314",29000,492,326
1785312868,2026-07-29T08:14:28Z,HVN7626,"17.644508,107.094627",29000,492,326
1785312901,2026-07-29T08:15:01Z,HVN7626,"17.705166,107.052696",28975,493,326
1785312932,2026-07-29T08:15:32Z,HVN7626,"17.764801,107.011559",29000,494,326
1785312963,2026-07-29T08:16:03Z,HVN7626,"17.824339,106.970444",29000,495,326
1785312994,2026-07-29T08:16:34Z,HVN7626,"17.885044,106.930275",29000,495,330
1785313026,2026-07-29T08:17:06Z,HVN7626,"17.95079,106.895531",29025,494,334
1785313058,2026-07-29T08:17:38Z,HVN7626,"18.017485,106.862053",29050,492,334
1785313091,2026-07-29T08:18:11Z,HVN7626,"18.084686,106.827972",29025,491,334
1785313123,2026-07-29T08:18:43Z,HVN7626,"18.149872,106.795013",29000,490,334
1785313153,2026-07-29T08:19:13Z,HVN7626,"18.211441,106.763908",28975,490,334
1785313186,2026-07-29T08:19:46Z,HVN7626,"18.279556,106.729431",28775,491,334
1785313218,2026-07-29T08:20:18Z,HVN7626,"18.345026,106.696274",28500,491,334
1785313249,2026-07-29T08:20:49Z,HVN7626,"18.408463,106.664154",28250,493,334
1785313281,2026-07-29T08:21:21Z,HVN7626,"18.473831,106.630997",28000,495,334
1785313311,2026-07-29T08:21:51Z,HVN7626,"18.536915,106.598991",27725,494,334
1785313343,2026-07-29T08:22:23Z,HVN7626,"18.603111,106.565437",27450,492,334
1785313376,2026-07-29T08:22:56Z,HVN7626,"18.669682,106.53183",27200,492,334
1785313408,2026-07-29T08:23:28Z,HVN7626,"18.736252,106.498322",27000,492,334
1785313440,2026-07-29T08:24:00Z,HVN7626,"18.800858,106.465759",27000,482,334
1785313470,2026-07-29T08:24:30Z,HVN7626,"18.861477,106.435097",27000,474,334
1785313501,2026-07-29T08:25:01Z,HVN7626,"18.922415,106.404236",27000,473,334
1785313533,2026-07-29T08:25:33Z,HVN7626,"18.987076,106.371674",27000,474,334
1785313564,2026-07-29T08:26:04Z,HVN7626,"19.046677,106.341675",27000,445,334
1785313585,2026-07-29T08:26:25Z,HVN7626,"19.083672,106.318489",27000,437,324
1785313587,2026-07-29T08:26:27Z,HVN7626,"19.087006,106.316025",27000,436,324
1785313589,2026-07-29T08:26:29Z,HVN7626,"19.089769,106.313896",27000,436,324
1785313592,2026-07-29T08:26:32Z,HVN7626,"19.094009,106.310623",27000,436,323
1785313594,2026-07-29T08:26:34Z,HVN7626,"19.097946,106.307587",27000,436,323
1785313596,2026-07-29T08:26:36Z,HVN7626,"19.101379,106.304939",27000,435,323
1785313627,2026-07-29T08:27:07Z,HVN7626,"19.150473,106.26651",27000,418,323
1785313659,2026-07-29T08:27:39Z,HVN7626,"19.200165,106.227448",27000,415,323
1785313690,2026-07-29T08:28:10Z,HVN7626,"19.247772,106.189926",27000,415,323
1785313722,2026-07-29T08:28:42Z,HVN7626,"19.296524,106.151421",27000,401,322
1785313753,2026-07-29T08:29:13Z,HVN7626,"19.34334,106.115494",27000,401,324
1785313773,2026-07-29T08:29:33Z,HVN7626,"19.372248,106.092674",27000,403,316
1785313775,2026-07-29T08:29:35Z,HVN7626,"19.375275,106.089424",27000,403,313
